algorithm,split,class_label,branch_i,branch_i_kind,branch_i_confuser,branch_j,branch_j_kind,branch_j_confuser,intersection,union,jaccard_overlap
src_v9,0,0,0,root,-1,1,extra,1,108,225,0.48
src_v9,0,0,0,root,-1,2,extra,2,55,225,0.24444444444444444
src_v9,0,0,1,extra,1,2,extra,2,37,126,0.29365079365079366
src_v9,0,1,0,root,-1,1,extra,2,64,220,0.2909090909090909
src_v9,0,1,0,root,-1,2,extra,3,44,220,0.2
src_v9,0,1,1,extra,2,2,extra,3,28,80,0.35
src_v9,0,2,0,root,-1,1,extra,3,88,218,0.4036697247706422
src_v9,0,2,0,root,-1,2,extra,4,62,218,0.28440366972477066
src_v9,0,2,1,extra,3,2,extra,4,48,102,0.47058823529411764
src_v9,0,3,0,root,-1,1,extra,2,77,241,0.31950207468879666
src_v9,0,3,0,root,-1,2,extra,4,56,241,0.23236514522821577
src_v9,0,3,1,extra,2,2,extra,4,38,95,0.4
src_v9,0,4,0,root,-1,1,extra,3,70,188,0.3723404255319149
src_v9,0,4,0,root,-1,2,extra,2,59,188,0.31382978723404253
src_v9,0,4,1,extra,3,2,extra,2,35,94,0.3723404255319149
src_v9,1,0,0,root,-1,1,extra,1,98,220,0.44545454545454544
src_v9,1,0,0,root,-1,2,extra,2,69,220,0.31363636363636366
src_v9,1,0,1,extra,1,2,extra,2,46,121,0.38016528925619836
src_v9,1,1,0,root,-1,1,extra,2,60,197,0.30456852791878175
src_v9,1,1,0,root,-1,2,extra,3,36,197,0.18274111675126903
src_v9,1,1,1,extra,2,2,extra,3,21,75,0.28
src_v9,1,2,0,root,-1,1,extra,3,103,242,0.4256198347107438
src_v9,1,2,0,root,-1,2,extra,4,74,242,0.30578512396694213
src_v9,1,2,1,extra,3,2,extra,4,56,121,0.4628099173553719
src_v9,1,3,0,root,-1,1,extra,4,81,242,0.3347107438016529
src_v9,1,3,0,root,-1,2,extra,2,87,242,0.359504132231405
src_v9,1,3,1,extra,4,2,extra,2,49,119,0.4117647058823529
src_v9,1,4,0,root,-1,1,extra,3,78,191,0.4083769633507853
src_v9,1,4,0,root,-1,2,extra,2,72,191,0.3769633507853403
src_v9,1,4,1,extra,3,2,extra,2,51,99,0.5151515151515151
src_v9,2,0,0,root,-1,1,extra,1,108,222,0.4864864864864865
src_v9,2,0,0,root,-1,2,extra,3,58,222,0.26126126126126126
src_v9,2,0,1,extra,1,2,extra,3,39,127,0.30708661417322836
src_v9,2,1,0,root,-1,1,extra,0,111,233,0.47639484978540775
src_v9,2,1,0,root,-1,2,extra,2,47,233,0.2017167381974249
src_v9,2,1,1,extra,0,2,extra,2,12,146,0.0821917808219178
src_v9,2,2,0,root,-1,1,extra,3,82,206,0.39805825242718446
src_v9,2,2,0,root,-1,2,extra,0,55,206,0.2669902912621359
src_v9,2,2,1,extra,3,2,extra,0,12,125,0.096
src_v9,2,3,0,root,-1,1,extra,2,123,251,0.4900398406374502
src_v9,2,3,0,root,-1,2,extra,4,56,251,0.22310756972111553
src_v9,2,3,1,extra,2,2,extra,4,43,136,0.3161764705882353
src_v9,2,4,0,root,-1,1,extra,3,78,180,0.43333333333333335
src_v9,2,4,0,root,-1,2,extra,2,43,180,0.2388888888888889
src_v9,2,4,1,extra,3,2,extra,2,31,90,0.34444444444444444
src_v9,3,0,0,root,-1,1,extra,1,99,219,0.4520547945205479
src_v9,3,0,0,root,-1,2,extra,2,58,219,0.2648401826484018
src_v9,3,0,1,extra,1,2,extra,2,37,120,0.30833333333333335
src_v9,3,1,0,root,-1,1,extra,0,110,218,0.5045871559633027
src_v9,3,1,0,root,-1,2,extra,2,52,218,0.23853211009174313
src_v9,3,1,1,extra,0,2,extra,2,19,143,0.13286713286713286
src_v9,3,2,0,root,-1,1,extra,1,49,219,0.2237442922374429
src_v9,3,2,0,root,-1,2,extra,0,78,219,0.3561643835616438
src_v9,3,2,1,extra,1,2,extra,0,31,96,0.3229166666666667
src_v9,3,3,0,root,-1,1,extra,2,118,256,0.4609375
src_v9,3,3,0,root,-1,2,extra,4,55,256,0.21484375
src_v9,3,3,1,extra,2,2,extra,4,36,137,0.26277372262773724
src_v9,3,4,0,root,-1,1,extra,3,74,180,0.4111111111111111
src_v9,3,4,0,root,-1,2,extra,2,49,180,0.2722222222222222
src_v9,3,4,1,extra,3,2,extra,2,33,90,0.36666666666666664
src_v9,4,0,0,root,-1,1,extra,1,117,209,0.5598086124401914
src_v9,4,0,0,root,-1,2,extra,2,40,209,0.19138755980861244
src_v9,4,0,1,extra,1,2,extra,2,26,131,0.1984732824427481
src_v9,4,1,0,root,-1,1,extra,0,139,246,0.5650406504065041
src_v9,4,1,0,root,-1,2,extra,2,59,246,0.23983739837398374
src_v9,4,1,1,extra,0,2,extra,2,26,172,0.1511627906976744
src_v9,4,2,0,root,-1,1,extra,3,97,210,0.46190476190476193
src_v9,4,2,0,root,-1,2,extra,0,69,210,0.32857142857142857
src_v9,4,2,1,extra,3,2,extra,0,14,152,0.09210526315789473
src_v9,4,3,0,root,-1,1,extra,2,104,236,0.4406779661016949
src_v9,4,3,0,root,-1,2,extra,4,65,236,0.2754237288135593
src_v9,4,3,1,extra,2,2,extra,4,47,122,0.38524590163934425
src_v9,4,4,0,root,-1,1,extra,3,82,191,0.4293193717277487
src_v9,4,4,0,root,-1,2,extra,2,46,191,0.24083769633507854
src_v9,4,4,1,extra,3,2,extra,2,27,101,0.26732673267326734
src_v9,5,0,0,root,-1,1,extra,1,101,226,0.4469026548672566
src_v9,5,0,0,root,-1,2,extra,2,39,226,0.17256637168141592
src_v9,5,0,1,extra,1,2,extra,2,20,120,0.16666666666666666
src_v9,5,1,0,root,-1,1,extra,2,53,214,0.24766355140186916
src_v9,5,1,0,root,-1,2,extra,0,114,214,0.5327102803738317
src_v9,5,1,1,extra,2,2,extra,0,23,144,0.1597222222222222
src_v9,5,2,0,root,-1,1,extra,3,97,232,0.41810344827586204
src_v9,5,2,0,root,-1,2,extra,0,72,232,0.3103448275862069
src_v9,5,2,1,extra,3,2,extra,0,11,158,0.06962025316455696
src_v9,5,3,0,root,-1,1,extra,2,95,238,0.39915966386554624
src_v9,5,3,0,root,-1,2,extra,4,33,238,0.13865546218487396
src_v9,5,3,1,extra,2,2,extra,4,23,105,0.21904761904761905
src_v9,5,4,0,root,-1,1,extra,2,74,182,0.4065934065934066
src_v9,5,4,0,root,-1,2,extra,3,67,182,0.36813186813186816
src_v9,5,4,1,extra,2,2,extra,3,49,92,0.532608695652174
src_v9,6,0,0,root,-1,1,extra,1,118,212,0.5566037735849056
src_v9,6,0,0,root,-1,2,extra,3,37,212,0.17452830188679244
src_v9,6,0,1,extra,1,2,extra,3,26,129,0.20155038759689922
src_v9,6,1,0,root,-1,1,extra,0,104,220,0.4727272727272727
src_v9,6,1,0,root,-1,2,extra,2,52,220,0.23636363636363636
src_v9,6,1,1,extra,0,2,extra,2,15,141,0.10638297872340426
src_v9,6,2,0,root,-1,1,extra,3,77,223,0.3452914798206278
src_v9,6,2,0,root,-1,2,extra,4,63,223,0.2825112107623318
src_v9,6,2,1,extra,3,2,extra,4,48,92,0.5217391304347826
src_v9,6,3,0,root,-1,1,extra,2,84,251,0.3346613545816733
src_v9,6,3,0,root,-1,2,extra,4,73,251,0.2908366533864542
src_v9,6,3,1,extra,2,2,extra,4,49,108,0.4537037037037037
src_v9,6,4,0,root,-1,1,extra,3,75,186,0.4032258064516129
src_v9,6,4,0,root,-1,2,extra,2,61,186,0.3279569892473118
src_v9,6,4,1,extra,3,2,extra,2,42,94,0.44680851063829785
src_v9,7,0,0,root,-1,1,extra,1,106,224,0.4732142857142857
src_v9,7,0,0,root,-1,2,extra,2,66,224,0.29464285714285715
src_v9,7,0,1,extra,1,2,extra,2,45,127,0.3543307086614173
src_v9,7,1,0,root,-1,1,extra,2,68,206,0.3300970873786408
src_v9,7,1,0,root,-1,2,extra,0,99,206,0.48058252427184467
src_v9,7,1,1,extra,2,2,extra,0,39,128,0.3046875
src_v9,7,2,0,root,-1,1,extra,3,90,237,0.379746835443038
src_v9,7,2,0,root,-1,2,extra,0,67,237,0.28270042194092826
src_v9,7,2,1,extra,3,2,extra,0,11,146,0.07534246575342465
src_v9,7,3,0,root,-1,1,extra,2,73,246,0.2967479674796748
src_v9,7,3,0,root,-1,2,extra,0,48,246,0.1951219512195122
src_v9,7,3,1,extra,2,2,extra,0,0,121,0.0
src_v9,7,4,0,root,-1,1,extra,2,84,179,0.4692737430167598
src_v9,7,4,0,root,-1,2,extra,3,66,179,0.3687150837988827
src_v9,7,4,1,extra,2,2,extra,3,48,102,0.47058823529411764
src_v9,8,0,0,root,-1,1,extra,1,101,212,0.47641509433962265
src_v9,8,0,0,root,-1,2,extra,3,40,212,0.18867924528301888
src_v9,8,0,1,extra,1,2,extra,3,26,115,0.22608695652173913
src_v9,8,1,0,root,-1,1,extra,0,109,221,0.49321266968325794
src_v9,8,1,0,root,-1,2,extra,2,60,221,0.27149321266968324
src_v9,8,1,1,extra,0,2,extra,2,25,144,0.1736111111111111
src_v9,8,2,0,root,-1,1,extra,3,96,224,0.42857142857142855
src_v9,8,2,0,root,-1,2,extra,4,49,224,0.21875
src_v9,8,2,1,extra,3,2,extra,4,37,108,0.3425925925925926
src_v9,8,3,0,root,-1,1,extra,2,94,251,0.3745019920318725
src_v9,8,3,0,root,-1,2,extra,4,71,251,0.28286852589641437
src_v9,8,3,1,extra,2,2,extra,4,46,119,0.3865546218487395
src_v9,8,4,0,root,-1,1,extra,3,94,184,0.5108695652173914
src_v9,8,4,0,root,-1,2,extra,2,73,184,0.3967391304347826
src_v9,8,4,1,extra,3,2,extra,2,55,112,0.49107142857142855
src_v9,9,0,0,root,-1,1,extra,1,98,224,0.4375
src_v9,9,0,0,root,-1,2,extra,2,64,224,0.2857142857142857
src_v9,9,0,1,extra,1,2,extra,2,35,127,0.2755905511811024
src_v9,9,1,0,root,-1,1,extra,2,87,239,0.36401673640167365
src_v9,9,1,0,root,-1,2,extra,0,91,239,0.3807531380753138
src_v9,9,1,1,extra,2,2,extra,0,35,143,0.24475524475524477
src_v9,9,2,0,root,-1,1,extra,3,76,218,0.3486238532110092
src_v9,9,2,0,root,-1,2,extra,4,62,218,0.28440366972477066
src_v9,9,2,1,extra,3,2,extra,4,45,93,0.4838709677419355
src_v9,9,3,0,root,-1,1,extra,4,71,239,0.29707112970711297
src_v9,9,3,0,root,-1,2,extra,2,86,239,0.3598326359832636
src_v9,9,3,1,extra,4,2,extra,2,42,115,0.3652173913043478
src_v9,9,4,0,root,-1,1,extra,2,66,172,0.38372093023255816
src_v9,9,4,0,root,-1,2,extra,3,71,172,0.4127906976744186
src_v9,9,4,1,extra,2,2,extra,3,42,95,0.4421052631578947
src_v10,0,0,0,root,-1,1,extra,1,101,225,0.4488888888888889
