split,class_label,branch_index,kind,confuser_class,basis_dim,member_size,seed_size,class_scale,radius,extra_bias_scale,gate_strength,median_gain,member_idx_json,member_original_id_json
0,0,0,root,-1,64,225,225,1.858396918550965,5.214869626525958,0.0,0.0,nan,"[8, 21, 31, 37, 61, 70, 79, 86, 101, 113, 122, 128, 129, 134, 184, 194, 195, 198, 207, 226, 246, 256, 273, 275, 276, 285, 287, 289, 318, 325, 327, 363, 364, 370, 378, 407, 428, 443, 445, 455, 456, 459, 474, 482, 483, 485, 486, 490, 501, 519, 525, 535, 537, 542, 559, 570, 580, 591, 599, 613, 614, 627, 628, 633, 649, 653, 684, 687, 688, 689, 699, 700, 717, 719, 732, 744, 768, 793, 809, 816, 823, 826, 848, 850, 864, 874, 876, 897, 901, 908, 910, 913, 917, 921, 923, 947, 954, 965, 999, 1008, 1012, 1015, 1021, 1026, 1032, 1036, 1044, 1059, 1081, 1088, 1096, 1115, 1121, 1123, 1130, 1132, 1135, 1137, 1154, 1215, 1218, 1226, 1234, 1252, 1255, 1266, 1270, 1286, 1302, 1309, 1310, 1315, 1320, 1321, 1323, 1329, 1346, 1352, 1359, 1377, 1387, 1391, 1396, 1400, 1406, 1408, 1429, 1447, 1458, 1469, 1472, 1490, 1500, 1506, 1511, 1518, 1529, 1539, 1550, 1553, 1568, 1570, 1584, 1589, 1592, 1594, 1597, 1617, 1620, 1631, 1659, 1678, 1684, 1696, 1717, 1731, 1735, 1753, 1758, 1769, 1786, 1817, 1823, 1832, 1839, 1844, 1850, 1878, 1884, 1904, 1914, 1941, 1942, 1943, 1945, 1960, 1966, 1978, 1985, 1989, 1991, 2008, 2022, 2028, 2037, 2066, 2089, 2094, 2105, 2108, 2120, 2133, 2142, 2154, 2163, 2184, 2206, 2211, 2219, 2227, 2231, 2232, 2247, 2252, 2253]","[8, 21, 31, 37, 61, 70, 79, 86, 101, 113, 122, 128, 129, 134, 184, 194, 195, 198, 207, 226, 246, 256, 273, 275, 276, 285, 287, 289, 318, 325, 327, 363, 364, 370, 378, 407, 428, 443, 445, 455, 456, 459, 474, 482, 483, 485, 486, 490, 501, 519, 525, 535, 537, 542, 559, 570, 580, 591, 599, 613, 614, 627, 628, 633, 649, 653, 684, 687, 688, 689, 699, 700, 717, 719, 732, 744, 768, 793, 809, 816, 823, 826, 848, 850, 864, 874, 876, 897, 901, 908, 910, 913, 917, 921, 923, 947, 954, 965, 999, 1008, 1012, 1015, 1021, 1026, 1032, 1036, 1044, 1059, 1081, 1088, 1096, 1115, 1121, 1123, 1130, 1132, 1135, 1137, 1154, 1215, 1218, 1226, 1234, 1252, 1255, 1266, 1270, 1286, 1302, 1309, 1310, 1315, 1320, 1321, 1323, 1329, 1346, 1352, 1359, 1377, 1387, 1391, 1396, 1400, 1406, 1408, 1429, 1447, 1458, 1469, 1472, 1490, 1500, 1506, 1511, 1518, 1529, 1539, 1550, 1553, 1568, 1570, 1584, 1589, 1592, 1594, 1597, 1617, 1620, 1631, 1659, 1678, 1684, 1696, 1717, 1731, 1735, 1753, 1758, 1769, 1786, 1817, 1823, 1832, 1839, 1844, 1850, 1878, 1884, 1904, 1914, 1941, 1942, 1943, 1945, 1960, 1966, 1978, 1985, 1989, 1991, 2008, 2022, 2028, 2037, 2066, 2089, 2094, 2105, 2108, 2120, 2133, 2142, 2154, 2163, 2184, 2206, 2211, 2219, 2227, 2231, 2232, 2247, 2252, 2253]"
0,0,1,extra,1,64,101,34,1.858396918550965,5.228945156545724,0.1,2.5,0.4406294124210086,"[21, 70, 79, 86, 101, 184, 194, 207, 246, 287, 289, 325, 327, 363, 364, 370, 407, 428, 443, 474, 483, 485, 501, 519, 535, 559, 613, 614, 627, 628, 649, 684, 689, 700, 717, 768, 809, 864, 874, 876, 897, 901, 913, 954, 999, 1026, 1036, 1044, 1059, 1081, 1096, 1115, 1121, 1130, 1132, 1135, 1154, 1215, 1234, 1252, 1266, 1270, 1286, 1310, 1321, 1323, 1346, 1359, 1377, 1396, 1406, 1429, 1447, 1469, 1472, 1518, 1529, 1550, 1568, 1594, 1597, 1617, 1631, 1678, 1684, 1731, 1753, 1839, 1904, 1941, 1945, 1960, 1978, 2037, 2066, 2089, 2105, 2120, 2184, 2206, 2219]","[21, 70, 79, 86, 101, 184, 194, 207, 246, 287, 289, 325, 327, 363, 364, 370, 407, 428, 443, 474, 483, 485, 501, 519, 535, 559, 613, 614, 627, 628, 649, 684, 689, 700, 717, 768, 809, 864, 874, 876, 897, 901, 913, 954, 999, 1026, 1036, 1044, 1059, 1081, 1096, 1115, 1121, 1130, 1132, 1135, 1154, 1215, 1234, 1252, 1266, 1270, 1286, 1310, 1321, 1323, 1346, 1359, 1377, 1396, 1406, 1429, 1447, 1469, 1472, 1518, 1529, 1550, 1568, 1594, 1597, 1617, 1631, 1678, 1684, 1731, 1753, 1839, 1904, 1941, 1945, 1960, 1978, 2037, 2066, 2089, 2105, 2120, 2184, 2206, 2219]"
0,0,2,extra,2,64,82,14,1.858396918550965,4.729596872692167,0.1,2.5,0.32753107183449304,"[70, 79, 101, 113, 128, 184, 207, 246, 275, 276, 287, 289, 318, 325, 327, 364, 378, 407, 485, 490, 501, 535, 614, 649, 684, 689, 700, 768, 864, 874, 913, 923, 954, 1012, 1026, 1036, 1044, 1059, 1115, 1135, 1154, 1234, 1270, 1286, 1310, 1323, 1346, 1377, 1396, 1406, 1469, 1472, 1500, 1518, 1539, 1550, 1553, 1568, 1584, 1594, 1597, 1684, 1717, 1753, 1839, 1904, 1914, 1945, 1978, 1989, 2028, 2037, 2066, 2089, 2094, 2105, 2120, 2163, 2184, 2206, 2219, 2253]","[70, 79, 101, 113, 128, 184, 207, 246, 275, 276, 287, 289, 318, 325, 327, 364, 378, 407, 485, 490, 501, 535, 614, 649, 684, 689, 700, 768, 864, 874, 913, 923, 954, 1012, 1026, 1036, 1044, 1059, 1115, 1135, 1154, 1234, 1270, 1286, 1310, 1323, 1346, 1377, 1396, 1406, 1469, 1472, 1500, 1518, 1539, 1550, 1553, 1568, 1584, 1594, 1597, 1684, 1717, 1753, 1839, 1904, 1914, 1945, 1978, 1989, 2028, 2037, 2066, 2089, 2094, 2105, 2120, 2163, 2184, 2206, 2219, 2253]"
0,1,0,root,-1,64,220,220,1.9243300110862396,5.140939010251784,0.0,0.0,nan,"[10, 14, 24, 25, 35, 55, 62, 68, 72, 96, 112, 130, 143, 150, 159, 178, 185, 189, 212, 213, 231, 237, 241, 271, 294, 308, 311, 335, 338, 341, 344, 347, 351, 365, 372, 373, 375, 380, 387, 400, 406, 418, 422, 424, 434, 439, 451, 488, 494, 503, 508, 522, 548, 560, 562, 595, 607, 618, 623, 638, 642, 654, 662, 670, 677, 680, 698, 725, 739, 740, 743, 757, 762, 765, 772, 792, 803, 804, 815, 825, 831, 859, 872, 888, 892, 894, 907, 925, 953, 963, 972, 989, 1003, 1055, 1057, 1072, 1093, 1095, 1098, 1103, 1125, 1127, 1128, 1129, 1166, 1171, 1175, 1176, 1190, 1237, 1240, 1254, 1258, 1261, 1271, 1287, 1305, 1311, 1314, 1319, 1328, 1335, 1349, 1355, 1358, 1364, 1365, 1369, 1370, 1371, 1385, 1394, 1415, 1424, 1428, 1435, 1437, 1439, 1444, 1446, 1452, 1453, 1456, 1462, 1468, 1478, 1479, 1530, 1531, 1558, 1560, 1579, 1586, 1638, 1647, 1658, 1661, 1664, 1668, 1671, 1687, 1689, 1718, 1726, 1729, 1733, 1736, 1757, 1762, 1765, 1772, 1787, 1797, 1802, 1805, 1808, 1816, 1830, 1849, 1851, 1861, 1879, 1881, 1883, 1890, 1898, 1913, 1922, 1950, 1956, 1983, 1986, 1992, 1995, 1997, 2002, 2036, 2053, 2054, 2059, 2069, 2074, 2104, 2107, 2109, 2126, 2146, 2149, 2162, 2182, 2185, 2193, 2202, 2215, 2218, 2223, 2237, 2245, 2260, 2270]","[10, 14, 24, 25, 35, 55, 62, 68, 72, 96, 112, 130, 143, 150, 159, 178, 185, 189, 212, 213, 231, 237, 241, 271, 294, 308, 311, 335, 338, 341, 344, 347, 351, 365, 372, 373, 375, 380, 387, 400, 406, 418, 422, 424, 434, 439, 451, 488, 494, 503, 508, 522, 548, 560, 562, 595, 607, 618, 623, 638, 642, 654, 662, 670, 677, 680, 698, 725, 739, 740, 743, 757, 762, 765, 772, 792, 803, 804, 815, 825, 831, 859, 872, 888, 892, 894, 907, 925, 953, 963, 972, 989, 1003, 1055, 1057, 1072, 1093, 1095, 1098, 1103, 1125, 1127, 1128, 1129, 1166, 1171, 1175, 1176, 1190, 1237, 1240, 1254, 1258, 1261, 1271, 1287, 1305, 1311, 1314, 1319, 1328, 1335, 1349, 1355, 1358, 1364, 1365, 1369, 1370, 1371, 1385, 1394, 1415, 1424, 1428, 1435, 1437, 1439, 1444, 1446, 1452, 1453, 1456, 1462, 1468, 1478, 1479, 1530, 1531, 1558, 1560, 1579, 1586, 1638, 1647, 1658, 1661, 1664, 1668, 1671, 1687, 1689, 1718, 1726, 1729, 1733, 1736, 1757, 1762, 1765, 1772, 1787, 1797, 1802, 1805, 1808, 1816, 1830, 1849, 1851, 1861, 1879, 1881, 1883, 1890, 1898, 1913, 1922, 1950, 1956, 1983, 1986, 1992, 1995, 1997, 2002, 2036, 2053, 2054, 2059, 2069, 2074, 2104, 2107, 2109, 2126, 2146, 2149, 2162, 2182, 2185, 2193, 2202, 2215, 2218, 2223, 2237, 2245, 2260, 2270]"
0,1,1,extra,0,64,95,34,1.9243300110862396,4.128894511163212,0.1,2.5,0.6126500343797705,"[14, 25, 68, 112, 130, 143, 150, 178, 185, 189, 213, 271, 294, 311, 341, 347, 375, 380, 400, 424, 439, 494, 503, 522, 548, 595, 642, 654, 670, 677, 680, 698, 739, 743, 757, 792, 803, 825, 831, 872, 892, 907, 925, 989, 1003, 1093, 1127, 1240, 1271, 1311, 1314, 1328, 1335, 1358, 1364, 1365, 1394, 1415, 1446, 1462, 1468, 1479, 1530, 1531, 1558, 1560, 1579, 1647, 1658, 1671, 1736, 1757, 1762, 1765, 1797, 1802, 1808, 1830, 1879, 1883, 1890, 1956, 1983, 1992, 2036, 2059, 2074, 2104, 2107, 2146, 2149, 2182, 2223, 2260, 2270]","[14, 25, 68, 112, 130, 143, 150, 178, 185, 189, 213, 271, 294, 311, 341, 347, 375, 380, 400, 424, 439, 494, 503, 522, 548, 595, 642, 654, 670, 677, 680, 698, 739, 743, 757, 792, 803, 825, 831, 872, 892, 907, 925, 989, 1003, 1093, 1127, 1240, 1271, 1311, 1314, 1328, 1335, 1358, 1364, 1365, 1394, 1415, 1446, 1462, 1468, 1479, 1530, 1531, 1558, 1560, 1579, 1647, 1658, 1671, 1736, 1757, 1762, 1765, 1797, 1802, 1808, 1830, 1879, 1883, 1890, 1956, 1983, 1992, 2036, 2059, 2074, 2104, 2107, 2146, 2149, 2182, 2223, 2260, 2270]"
0,1,2,extra,2,61,84,23,1.9243300110862396,4.710449144777746,0.1,2.5,0.8042608371380091,"[10, 14, 35, 62, 96, 112, 143, 150, 212, 241, 271, 294, 308, 338, 341, 344, 351, 373, 375, 380, 400, 406, 422, 595, 607, 623, 638, 654, 680, 825, 888, 972, 989, 1093, 1098, 1103, 1127, 1175, 1237, 1254, 1271, 1314, 1328, 1369, 1370, 1371, 1439, 1444, 1446, 1452, 1468, 1530, 1560, 1647, 1661, 1664, 1718, 1726, 1733, 1736, 1762, 1797, 1802, 1805, 1830, 1861, 1883, 1890, 1898, 1950, 1956, 1986, 2036, 2053, 2059, 2069, 2074, 2109, 2146, 2185, 2215, 2223, 2245, 2260]","[10, 14, 35, 62, 96, 112, 143, 150, 212, 241, 271, 294, 308, 338, 341, 344, 351, 373, 375, 380, 400, 406, 422, 595, 607, 623, 638, 654, 680, 825, 888, 972, 989, 1093, 1098, 1103, 1127, 1175, 1237, 1254, 1271, 1314, 1328, 1369, 1370, 1371, 1439, 1444, 1446, 1452, 1468, 1530, 1560, 1647, 1661, 1664, 1718, 1726, 1733, 1736, 1762, 1797, 1802, 1805, 1830, 1861, 1883, 1890, 1898, 1950, 1956, 1986, 2036, 2053, 2059, 2069, 2074, 2109, 2146, 2185, 2215, 2223, 2245, 2260]"
0,2,0,root,-1,64,218,218,2.8359944351411706,4.929011819970125,0.0,0.0,nan,"[4, 6, 7, 12, 22, 26, 28, 29, 33, 53, 63, 78, 84, 93, 140, 145, 172, 179, 196, 197, 205, 209, 221, 223, 253, 257, 261, 265, 270, 313, 314, 319, 336, 337, 355, 366, 368, 389, 402, 413, 430, 436, 450, 468, 470, 493, 498, 500, 509, 511, 515, 517, 518, 520, 521, 523, 536, 551, 553, 561, 563, 564, 577, 581, 606, 608, 615, 635, 641, 665, 675, 704, 706, 712, 750, 752, 754, 759, 767, 771, 775, 783, 791, 798, 799, 801, 820, 829, 832, 836, 849, 852, 856, 858, 861, 869, 883, 898, 905, 912, 916, 918, 933, 957, 979, 982, 986, 988, 997, 1006, 1019, 1020, 1028, 1033, 1041, 1045, 1052, 1060, 1070, 1087, 1100, 1144, 1145, 1149, 1163, 1177, 1204, 1208, 1210, 1238, 1243, 1260, 1262, 1291, 1306, 1317, 1326, 1330, 1344, 1351, 1353, 1356, 1373, 1383, 1384, 1393, 1397, 1423, 1432, 1449, 1454, 1463, 1466, 1475, 1480, 1484, 1492, 1496, 1499, 1505, 1512, 1520, 1521, 1534, 1538, 1541, 1544, 1546, 1548, 1561, 1610, 1639, 1641, 1663, 1677, 1690, 1706, 1710, 1763, 1778, 1779, 1791, 1834, 1842, 1853, 1856, 1865, 1875, 1902, 1916, 1918, 1926, 1953, 1968, 1970, 1984, 2003, 2004, 2029, 2041, 2063, 2093, 2111, 2122, 2138, 2141, 2151, 2161, 2167, 2195, 2197, 2205, 2225, 2228, 2239, 2242, 2262, 2273]","[4, 6, 7, 12, 22, 26, 28, 29, 33, 53, 63, 78, 84, 93, 140, 145, 172, 179, 196, 197, 205, 209, 221, 223, 253, 257, 261, 265, 270, 313, 314, 319, 336, 337, 355, 366, 368, 389, 402, 413, 430, 436, 450, 468, 470, 493, 498, 500, 509, 511, 515, 517, 518, 520, 521, 523, 536, 551, 553, 561, 563, 564, 577, 581, 606, 608, 615, 635, 641, 665, 675, 704, 706, 712, 750, 752, 754, 759, 767, 771, 775, 783, 791, 798, 799, 801, 820, 829, 832, 836, 849, 852, 856, 858, 861, 869, 883, 898, 905, 912, 916, 918, 933, 957, 979, 982, 986, 988, 997, 1006, 1019, 1020, 1028, 1033, 1041, 1045, 1052, 1060, 1070, 1087, 1100, 1144, 1145, 1149, 1163, 1177, 1204, 1208, 1210, 1238, 1243, 1260, 1262, 1291, 1306, 1317, 1326, 1330, 1344, 1351, 1353, 1356, 1373, 1383, 1384, 1393, 1397, 1423, 1432, 1449, 1454, 1463, 1466, 1475, 1480, 1484, 1492, 1496, 1499, 1505, 1512, 1520, 1521, 1534, 1538, 1541, 1544, 1546, 1548, 1561, 1610, 1639, 1641, 1663, 1677, 1690, 1706, 1710, 1763, 1778, 1779, 1791, 1834, 1842, 1853, 1856, 1865, 1875, 1902, 1916, 1918, 1926, 1953, 1968, 1970, 1984, 2003, 2004, 2029, 2041, 2063, 2093, 2111, 2122, 2138, 2141, 2151, 2161, 2167, 2195, 2197, 2205, 2225, 2228, 2239, 2242, 2262, 2273]"
0,2,1,extra,3,64,87,37,2.8359944351411706,4.573254796743007,0.1,2.5,1.1873507672290082,"[22, 29, 33, 53, 172, 196, 205, 209, 270, 314, 319, 337, 355, 366, 368, 402, 413, 436, 470, 515, 518, 551, 577, 581, 712, 754, 759, 771, 775, 791, 820, 829, 856, 858, 861, 898, 905, 957, 979, 988, 1028, 1033, 1070, 1163, 1177, 1208, 1238, 1262, 1291, 1306, 1326, 1344, 1432, 1463, 1466, 1480, 1492, 1496, 1499, 1520, 1534, 1538, 1544, 1639, 1641, 1663, 1778, 1853, 1856, 1875, 1918, 1968, 1970, 1984, 2004, 2041, 2111, 2122, 2138, 2151, 2161, 2167, 2197, 2205, 2225, 2228, 2242]","[22, 29, 33, 53, 172, 196, 205, 209, 270, 314, 319, 337, 355, 366, 368, 402, 413, 436, 470, 515, 518, 551, 577, 581, 712, 754, 759, 771, 775, 791, 820, 829, 856, 858, 861, 898, 905, 957, 979, 988, 1028, 1033, 1070, 1163, 1177, 1208, 1238, 1262, 1291, 1306, 1326, 1344, 1432, 1463, 1466, 1480, 1492, 1496, 1499, 1520, 1534, 1538, 1544, 1639, 1641, 1663, 1778, 1853, 1856, 1875, 1918, 1968, 1970, 1984, 2004, 2041, 2111, 2122, 2138, 2151, 2161, 2167, 2197, 2205, 2225, 2228, 2242]"
0,2,2,extra,0,64,83,27,2.8359944351411706,5.046749101065394,0.1,2.5,1.1484171744912164,"[6, 7, 12, 22, 28, 33, 63, 140, 179, 197, 209, 223, 253, 257, 261, 313, 389, 413, 493, 498, 500, 509, 511, 517, 520, 521, 523, 536, 553, 563, 564, 606, 615, 704, 712, 752, 798, 801, 836, 852, 869, 898, 912, 986, 997, 1006, 1028, 1041, 1052, 1087, 1100, 1149, 1208, 1210, 1243, 1260, 1317, 1353, 1356, 1373, 1384, 1449, 1454, 1475, 1496, 1505, 1521, 1541, 1546, 1548, 1561, 1610, 1641, 1706, 1710, 1791, 1834, 1842, 2003, 2063, 2093, 2195, 2239]","[6, 7, 12, 22, 28, 33, 63, 140, 179, 197, 209, 223, 253, 257, 261, 313, 389, 413, 493, 498, 500, 509, 511, 517, 520, 521, 523, 536, 553, 563, 564, 606, 615, 704, 712, 752, 798, 801, 836, 852, 869, 898, 912, 986, 997, 1006, 1028, 1041, 1052, 1087, 1100, 1149, 1208, 1210, 1243, 1260, 1317, 1353, 1356, 1373, 1384, 1449, 1454, 1475, 1496, 1505, 1521, 1541, 1546, 1548, 1561, 1610, 1641, 1706, 1710, 1791, 1834, 1842, 2003, 2063, 2093, 2195, 2239]"
0,3,0,root,-1,64,241,241,2.564636274798115,4.851324308210977,0.0,0.0,nan,"[1, 20, 27, 34, 39, 43, 52, 58, 60, 107, 118, 120, 127, 139, 147, 155, 156, 160, 166, 167, 181, 200, 201, 211, 216, 222, 230, 244, 247, 283, 305, 309, 316, 317, 321, 323, 326, 330, 343, 353, 385, 442, 453, 458, 466, 484, 502, 510, 534, 540, 543, 550, 565, 567, 574, 584, 647, 648, 651, 656, 660, 671, 673, 681, 685, 691, 694, 715, 723, 726, 735, 760, 774, 786, 812, 814, 827, 828, 845, 863, 870, 884, 885, 886, 887, 895, 902, 911, 919, 924, 929, 937, 938, 948, 958, 960, 975, 984, 985, 993, 995, 1001, 1002, 1010, 1011, 1025, 1027, 1049, 1065, 1076, 1079, 1082, 1083, 1089, 1094, 1099, 1106, 1118, 1119, 1120, 1150, 1152, 1159, 1168, 1174, 1183, 1189, 1211, 1217, 1241, 1247, 1257, 1264, 1267, 1280, 1281, 1294, 1296, 1337, 1340, 1341, 1348, 1357, 1360, 1368, 1382, 1414, 1419, 1434, 1440, 1443, 1448, 1455, 1467, 1481, 1483, 1517, 1522, 1528, 1535, 1536, 1551, 1567, 1571, 1573, 1582, 1588, 1604, 1609, 1626, 1629, 1633, 1635, 1645, 1649, 1675, 1679, 1681, 1691, 1701, 1704, 1711, 1712, 1724, 1725, 1739, 1745, 1751, 1752, 1777, 1807, 1812, 1825, 1848, 1870, 1873, 1876, 1893, 1896, 1899, 1905, 1930, 1932, 1933, 1935, 1949, 1962, 1980, 1981, 1994, 1998, 2012, 2020, 2056, 2071, 2072, 2076, 2082, 2083, 2085, 2103, 2118, 2121, 2124, 2125, 2127, 2168, 2170, 2171, 2172, 2176, 2188, 2222, 2224, 2226, 2229, 2240, 2244, 2259, 2263, 2264]","[1, 20, 27, 34, 39, 43, 52, 58, 60, 107, 118, 120, 127, 139, 147, 155, 156, 160, 166, 167, 181, 200, 201, 211, 216, 222, 230, 244, 247, 283, 305, 309, 316, 317, 321, 323, 326, 330, 343, 353, 385, 442, 453, 458, 466, 484, 502, 510, 534, 540, 543, 550, 565, 567, 574, 584, 647, 648, 651, 656, 660, 671, 673, 681, 685, 691, 694, 715, 723, 726, 735, 760, 774, 786, 812, 814, 827, 828, 845, 863, 870, 884, 885, 886, 887, 895, 902, 911, 919, 924, 929, 937, 938, 948, 958, 960, 975, 984, 985, 993, 995, 1001, 1002, 1010, 1011, 1025, 1027, 1049, 1065, 1076, 1079, 1082, 1083, 1089, 1094, 1099, 1106, 1118, 1119, 1120, 1150, 1152, 1159, 1168, 1174, 1183, 1189, 1211, 1217, 1241, 1247, 1257, 1264, 1267, 1280, 1281, 1294, 1296, 1337, 1340, 1341, 1348, 1357, 1360, 1368, 1382, 1414, 1419, 1434, 1440, 1443, 1448, 1455, 1467, 1481, 1483, 1517, 1522, 1528, 1535, 1536, 1551, 1567, 1571, 1573, 1582, 1588, 1604, 1609, 1626, 1629, 1633, 1635, 1645, 1649, 1675, 1679, 1681, 1691, 1701, 1704, 1711, 1712, 1724, 1725, 1739, 1745, 1751, 1752, 1777, 1807, 1812, 1825, 1848, 1870, 1873, 1876, 1893, 1896, 1899, 1905, 1930, 1932, 1933, 1935, 1949, 1962, 1980, 1981, 1994, 1998, 2012, 2020, 2056, 2071, 2072, 2076, 2082, 2083, 2085, 2103, 2118, 2121, 2124, 2125, 2127, 2168, 2170, 2171, 2172, 2176, 2188, 2222, 2224, 2226, 2229, 2240, 2244, 2259, 2263, 2264]"
