split,class_label,is_anchor,oof_accuracy,selected_pairs_json,accepted,accepted_eta_basis,accepted_eta_center,geom_gain,correct_harm_rate,correct_residual_increase,reason,sep_gain_terms_json
0,1,0,0.6545454545454545,"[0, 2]",1,0.1,0.010000000000000002,0.057791677221905306,0.0,0.0030677311477895564,accepted,"[0.04593609344263896, 0.011855583779266347]"
0,2,0,0.5091743119266054,"[3, 1]",1,0.1,0.010000000000000002,0.0662462437299407,0.0,0.0024514416146536916,accepted,"[0.04080703822337917, 0.025439205506561532]"
0,3,0,0.6887966804979253,"[2, 4]",1,0.1,0.010000000000000002,0.08457125983467216,0.0,0.0015458254750917097,accepted,"[0.06065589979610971, 0.02391536003856245]"
0,4,1,0.7180851063829787,"[2, 3]",1,0.025,0.0025000000000000005,0.019646582328776092,0.0,0.00028150609765123616,accepted,"[0.01039564613128106, 0.00925093619749503]"
0,0,1,0.7066666666666667,"[1, 2]",1,0.025,0.0025000000000000005,0.014364959079304584,0.0,0.0006771100817012691,accepted,"[0.012050759203217834, 0.002314199876086749]"
1,1,0,0.6142131979695431,"[0, 2]",1,0.1,0.010000000000000002,0.0641923140961653,0.0,0.002668677233132887,accepted,"[0.04220270089056161, 0.021989613205603678]"
1,2,0,0.5537190082644629,"[3, 4]",1,0.1,0.010000000000000002,0.08622999887434146,0.0,0.0029801583088090626,accepted,"[0.052286602272584214, 0.03394339660175724]"
1,4,0,0.6335078534031413,"[3, 2]",1,0.1,0.010000000000000002,0.08130231345758412,0.0,0.0017655373278683392,accepted,"[0.04867974748973211, 0.03262256596785202]"
1,0,1,0.8136363636363636,"[1, 2]",1,0.025,0.0025000000000000005,0.01547652935589726,0.0,0.0007241352261099734,accepted,"[0.009686375894540291, 0.005790153461356969]"
1,3,1,0.6652892561983471,"[2, 4]",1,0.025,0.0025000000000000005,0.019679021968049853,0.0,0.0001950118125721851,accepted,"[0.010175835064349813, 0.009503186903700042]"
2,1,0,0.6695278969957081,"[0, 2]",1,0.1,0.010000000000000002,0.056424260382850325,0.0,0.0033558844999689893,accepted,"[0.0444080316077742, 0.012016228775076123]"
2,2,0,0.5970873786407767,"[3, 1]",1,0.1,0.010000000000000002,0.06792484469368026,0.0,0.002106360699576183,accepted,"[0.04172401131025015, 0.026200833383430107]"
2,4,0,0.6555555555555556,"[3, 2]",1,0.1,0.010000000000000002,0.07724630165766012,0.0,0.002231022011568184,accepted,"[0.04740578793094292, 0.029840513726717203]"
2,0,1,0.7522522522522522,"[1, 2]",1,0.025,0.0025000000000000005,0.015471147782362504,0.0,0.0007669571078223707,accepted,"[0.014043806198310147, 0.0014273415840523572]"
2,3,1,0.7410358565737052,"[2, 4]",1,0.025,0.0025000000000000005,0.02050716392585052,0.0,0.00022225424120002888,accepted,"[0.012607514027399807, 0.007899649898450713]"
