split,class_label,is_anchor,oof_accuracy,selected_pairs_json,accepted,accepted_eta_basis,accepted_eta_center,geom_gain,fixed_proxy,broken_proxy,wrong_redirect_proxy,changed_proxy,proxy_net_gain,proxy_broken_rate,median_margin_drop,margin_drop_frac,median_old_margin,median_new_margin,reason,sep_gain_terms_json
0,1,0,0.6545454545454545,"[0, 2]",0,0.0,0.0,0.0006439520460172928,0,0,0,0,0.0,0.0,0.0,0.0,1.5633080302845133,1.563379893781442,rejected_by_proxy_net_gain_or_margin,
0,2,0,0.5091743119266054,"[3, 1]",0,0.0,0.0,0.000743790439234882,0,0,0,0,0.0,0.0,0.0,0.0,1.5633080302845133,1.5633080302845133,rejected_by_proxy_net_gain_or_margin,
0,3,0,0.6887966804979253,"[2, 4]",0,0.0,0.0,0.0009335032253780476,0,0,0,0,0.0,0.0,0.0,0.0,1.5633080302845133,1.5633080302845133,rejected_by_proxy_net_gain_or_margin,
0,4,1,0.7180851063829787,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
0,0,1,0.7066666666666667,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
1,1,0,0.6142131979695431,"[0, 2]",0,0.0,0.0,0.0006851285593615879,0,0,0,0,0.0,0.0,0.0,0.0,1.520264494780541,1.5202909800792073,rejected_by_proxy_net_gain_or_margin,
1,2,0,0.5537190082644629,"[3, 0]",0,0.0,0.0,0.0007588898638199878,0,0,0,0,0.0,0.0,0.0,0.0,1.520264494780541,1.520264494780541,rejected_by_proxy_net_gain_or_margin,
1,4,0,0.6701570680628273,"[3, 2]",0,0.0,0.0,0.000953948796516409,0,0,0,0,0.0,0.0,0.0,0.0,1.520264494780541,1.5202755295689634,rejected_by_proxy_net_gain_or_margin,
1,0,1,0.7954545454545454,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
1,3,1,0.6942148760330579,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
2,1,0,0.6695278969957081,"[0, 2]",1,0.08,0.0064,0.04248868565393743,1,0,0,1,1.0,0.0,0.0,0.0,1.5240293120747517,1.5430030549013642,accepted_by_proxy_net_gain_and_margin,"[0.033387135219191615, 0.009101550434745812]"
2,2,0,0.5970873786407767,"[3, 1]",0,0.0,0.0,0.0007678725154122039,0,0,0,0,0.0,0.0,0.0,0.0,1.5409663700049534,1.5409663700049534,rejected_by_proxy_net_gain_or_margin,
2,4,0,0.6555555555555556,"[3, 2]",0,0.0,0.0,0.0008942239319381723,0,0,0,0,0.0,0.0,0.0,0.0,1.5409663700049534,1.5420198857042466,rejected_by_proxy_net_gain_or_margin,
2,0,1,0.7522522522522522,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
2,3,1,0.7410358565737052,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
3,1,0,0.6743119266055045,"[0, 2]",0,0.0,0.0,0.000656682739368426,0,0,0,0,0.0,0.0,0.0,0.0,1.5036637224776648,1.5036637224776648,rejected_by_proxy_net_gain_or_margin,
3,2,0,0.5570776255707762,"[3, 0]",0,0.0,0.0,0.0007976560117231155,0,0,0,0,0.0,0.0,0.0,0.0,1.5036637224776648,1.5036637224776648,rejected_by_proxy_net_gain_or_margin,
3,4,0,0.6944444444444444,"[3, 2]",0,0.0,0.0,0.0009204041283915504,0,0,0,0,0.0,0.0,0.0,0.0,1.5036637224776648,1.5036563771798672,rejected_by_proxy_net_gain_or_margin,
3,0,1,0.7351598173515982,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
3,3,1,0.71875,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
4,1,0,0.6097560975609756,"[0, 2]",0,0.0,0.0,0.0006499084877729227,0,0,0,0,0.0,0.0,0.0,0.0,1.1247723256251987,1.1247723256251987,rejected_by_proxy_net_gain_or_margin,
4,2,0,0.5666666666666667,"[3, 1]",0,0.0,0.0,0.0008186262995370413,0,0,0,0,0.0,0.0,0.0,0.0,1.1247723256251987,1.1247723256251987,rejected_by_proxy_net_gain_or_margin,
4,3,0,0.6567796610169492,"[2, 4]",0,0.0,0.0,0.000908649557929168,0,0,0,0,0.0,0.0,0.0,0.0,1.1247723256251987,1.1249831289859726,rejected_by_proxy_net_gain_or_margin,
4,0,1,0.8038277511961722,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
4,4,1,0.7120418848167539,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
5,1,0,0.6121495327102804,"[0, 2]",1,0.08,0.0064,0.045588670769535614,1,0,0,1,1.0,0.0,0.0,0.0,1.4910017141490288,1.5046783113762243,accepted_by_proxy_net_gain_and_margin,"[0.0362972220390046, 0.009291448730531008]"
5,2,0,0.5775862068965517,"[3, 1]",0,0.0,0.0,0.0008140979779891529,0,0,0,0,0.0,0.0,0.0,0.0,1.5033461258075262,1.5033461258075262,rejected_by_proxy_net_gain_or_margin,
5,4,0,0.7032967032967034,"[2, 3]",0,0.0,0.0,0.0009225434134567917,0,0,0,0,0.0,0.0,0.0,0.0,1.5033461258075262,1.503344796858058,rejected_by_proxy_net_gain_or_margin,
5,0,1,0.7699115044247787,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
5,3,1,0.7184873949579832,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
6,1,0,0.6454545454545455,"[0, 2]",0,0.0,0.0,0.000623432294762063,0,0,0,0,0.0,0.0,0.0,0.0,1.5548046461203548,1.5548046461203548,rejected_by_proxy_net_gain_or_margin,
6,2,0,0.5695067264573991,"[3, 1]",0,0.0,0.0,0.0007080112104459966,0,0,0,0,0.0,0.0,0.0,0.0,1.5548046461203548,1.5547073314627673,rejected_by_proxy_net_gain_or_margin,
6,4,0,0.7204301075268817,"[2, 3]",0,0.0,0.0,0.0008837686984757705,0,0,0,0,0.0,0.0,0.0,0.0,1.5548046461203548,1.5549340764520658,rejected_by_proxy_net_gain_or_margin,
6,0,1,0.7783018867924528,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
6,3,1,0.7689243027888446,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
7,1,0,0.6504854368932039,"[0, 2]",0,0.0,0.0,0.0007308844320308348,0,0,0,0,0.0,0.0,0.0,0.0,1.3708679587356376,1.3708679587356376,rejected_by_proxy_net_gain_or_margin,
7,2,0,0.569620253164557,"[3, 1]",0,0.0,0.0,0.0007306081131838422,0,0,0,0,0.0,0.0,0.0,0.0,1.3708679587356376,1.3708679587356376,rejected_by_proxy_net_gain_or_margin,
7,4,0,0.6927374301675978,"[2, 3]",0,0.0,0.0,0.0009344656463232395,0,0,0,0,0.0,0.0,0.0,0.0,1.3708679587356376,1.3708679587356376,rejected_by_proxy_net_gain_or_margin,
7,0,1,0.7455357142857143,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
7,3,1,0.7317073170731707,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
8,1,0,0.6606334841628959,"[0, 2]",0,0.0,0.0,0.0006385442756170907,0,0,0,0,0.0,0.0,0.0,0.0,1.1448330827855864,1.1448330827855864,rejected_by_proxy_net_gain_or_margin,
8,2,0,0.5535714285714286,"[1, 3]",1,0.08,0.0064,0.04947241813955357,2,0,1,3,2.0,0.0,0.0,0.0,1.1448330827855864,1.1460065461447368,accepted_by_proxy_net_gain_and_margin,"[0.023706377382746963, 0.0257660407568066]"
8,4,0,0.592391304347826,"[3, 2]",0,0.0,0.0,0.000922392583713255,0,0,0,0,0.0,0.0,0.0,0.0,1.145279711151973,1.1453379749713775,rejected_by_proxy_net_gain_or_margin,
8,3,1,0.7410358565737052,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
8,0,1,0.7028301886792453,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
9,1,0,0.6694560669456067,"[0, 2]",0,0.0,0.0,0.000685662382292719,0,0,0,0,0.0,0.0,0.0,0.0,1.3604530951953486,1.3604530951953486,rejected_by_proxy_net_gain_or_margin,
9,2,0,0.536697247706422,"[1, 3]",0,0.0,0.0,0.0007194269106559348,0,0,0,0,0.0,0.0,0.0,0.0,1.3604530951953486,1.3605368784714593,rejected_by_proxy_net_gain_or_margin,
9,3,0,0.694560669456067,"[2, 4]",0,0.0,0.0,0.000876135517577443,0,0,0,0,0.0,0.0,0.0,0.0,1.3604530951953486,1.360927351144718,rejected_by_proxy_net_gain_or_margin,
9,0,1,0.7232142857142857,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,
9,4,1,0.6976744186046512,[],0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,,anchor_frozen,


