split,record_kind,class_label,other_class,count,class_scale,seed_size,median_gain,branch_debug_index
0,oof_confusion,0,3,12,1.858396918550965,,,
0,oof_confusion,0,1,34,1.858396918550965,,,
0,oof_confusion,0,4,6,1.858396918550965,,,
0,oof_confusion,0,2,14,1.858396918550965,,,
0,oof_confusion,1,0,34,1.9243300110862396,,,
0,oof_confusion,1,3,15,1.9243300110862396,,,
0,oof_confusion,1,2,23,1.9243300110862396,,,
0,oof_confusion,1,4,4,1.9243300110862396,,,
0,oof_confusion,2,0,27,2.8359944351411706,,,
0,oof_confusion,2,4,23,2.8359944351411706,,,
0,oof_confusion,2,3,37,2.8359944351411706,,,
0,oof_confusion,2,1,20,2.8359944351411706,,,
0,oof_confusion,3,4,15,2.564636274798115,,,
0,oof_confusion,3,1,16,2.564636274798115,,,
0,oof_confusion,3,2,30,2.564636274798115,,,
0,oof_confusion,3,0,14,2.564636274798115,,,
0,oof_confusion,4,3,21,2.7947501940586132,,,
0,oof_confusion,4,2,18,2.7947501940586132,,,
0,oof_confusion,4,0,9,2.7947501940586132,,,
0,oof_confusion,4,1,5,2.7947501940586132,,,
0,branch_debug,0,1,101,1.858396918550965,34,0.4406294124210086,0
0,branch_debug,0,2,82,1.858396918550965,14,0.32753107183449304,1
0,branch_debug,1,0,95,1.9243300110862396,34,0.6126500343797705,0
0,branch_debug,1,2,84,1.9243300110862396,23,0.8042608371380091,1
0,branch_debug,2,3,87,2.8359944351411706,37,1.1873507672290082,0
0,branch_debug,2,0,83,2.8359944351411706,27,1.1484171744912164,1
0,branch_debug,3,2,95,2.564636274798115,30,0.9264809420534457,0
0,branch_debug,3,1,88,2.564636274798115,16,1.0401290405849055,1
0,branch_debug,4,3,75,2.7947501940586132,21,1.3595377236335384,0
1,oof_confusion,0,1,13,2.0579741912210956,,,
1,oof_confusion,0,2,17,2.0579741912210956,,,
1,oof_confusion,0,4,5,2.0579741912210956,,,
1,oof_confusion,0,3,6,2.0579741912210956,,,
1,oof_confusion,1,3,13,2.238441624307435,,,
1,oof_confusion,1,0,34,2.238441624307435,,,
1,oof_confusion,1,2,24,2.238441624307435,,,
1,oof_confusion,1,4,5,2.238441624307435,,,
1,oof_confusion,2,4,30,2.988645636314228,,,
1,oof_confusion,2,3,40,2.988645636314228,,,
1,oof_confusion,2,0,27,2.988645636314228,,,
1,oof_confusion,2,1,11,2.988645636314228,,,
1,oof_confusion,3,4,29,2.697259034489242,,,
1,oof_confusion,3,2,34,2.697259034489242,,,
1,oof_confusion,3,0,10,2.697259034489242,,,
1,oof_confusion,3,1,8,2.697259034489242,,,
1,oof_confusion,4,3,31,3.2620308921186303,,,
1,oof_confusion,4,0,10,3.2620308921186303,,,
1,oof_confusion,4,1,6,3.2620308921186303,,,
1,oof_confusion,4,2,23,3.2620308921186303,,,
1,branch_debug,0,2,83,2.0579741912210956,17,0.22805436046834715,0
1,branch_debug,1,0,87,2.238441624307435,34,0.5139478096262828,0
1,branch_debug,1,2,74,2.238441624307435,24,0.357452650060055,1
1,branch_debug,2,3,99,2.988645636314228,40,0.5026304475166068,0
1,branch_debug,2,0,89,2.988645636314228,27,0.577027423784628,1
1,branch_debug,3,2,103,2.697259034489242,34,0.3539667087960554,0
1,branch_debug,4,3,76,3.2620308921186303,31,0.6606297287077012,0
2,oof_confusion,0,3,16,1.8530307775354726,,,
2,oof_confusion,0,1,33,1.8530307775354726,,,
2,oof_confusion,0,4,1,1.8530307775354726,,,
2,oof_confusion,0,2,5,1.8530307775354726,,,
2,oof_confusion,1,4,7,1.9798453449333753,,,
2,oof_confusion,1,0,39,1.9798453449333753,,,
2,oof_confusion,1,2,22,1.9798453449333753,,,
2,oof_confusion,1,3,9,1.9798453449333753,,,
2,oof_confusion,2,4,13,2.8059212696641853,,,
2,oof_confusion,2,1,21,2.8059212696641853,,,
