algorithm,split,kind,true_class,other_class,count
src_v9,0,root_confusion,0,3,12
src_v9,0,root_confusion,0,1,34
src_v9,0,root_confusion,0,4,6
src_v9,0,root_confusion,0,2,14
src_v9,0,root_confusion,1,0,34
src_v9,0,root_confusion,1,3,15
src_v9,0,root_confusion,1,2,23
src_v9,0,root_confusion,1,4,4
src_v9,0,root_confusion,2,0,27
src_v9,0,root_confusion,2,4,23
src_v9,0,root_confusion,2,3,37
src_v9,0,root_confusion,2,1,20
src_v9,0,root_confusion,3,4,15
src_v9,0,root_confusion,3,1,16
src_v9,0,root_confusion,3,2,30
src_v9,0,root_confusion,3,0,14
src_v9,0,root_confusion,4,3,21
src_v9,0,root_confusion,4,2,18
src_v9,0,root_confusion,4,0,9
src_v9,0,root_confusion,4,1,5
src_v9,0,incoming_to_class,0,2,27
src_v9,0,incoming_to_class,0,1,34
src_v9,0,incoming_to_class,0,4,9
src_v9,0,incoming_to_class,0,3,14
src_v9,0,incoming_to_class,1,3,16
src_v9,0,incoming_to_class,1,0,34
src_v9,0,incoming_to_class,1,2,20
src_v9,0,incoming_to_class,1,4,5
src_v9,0,incoming_to_class,2,4,18
src_v9,0,incoming_to_class,2,0,14
src_v9,0,incoming_to_class,2,1,23
src_v9,0,incoming_to_class,2,3,30
src_v9,0,incoming_to_class,3,4,21
src_v9,0,incoming_to_class,3,2,37
src_v9,0,incoming_to_class,3,0,12
src_v9,0,incoming_to_class,3,1,15
src_v9,0,incoming_to_class,4,2,23
src_v9,0,incoming_to_class,4,3,15
src_v9,0,incoming_to_class,4,0,6
src_v9,0,incoming_to_class,4,1,4
src_v9,1,root_confusion,0,1,18
src_v9,1,root_confusion,0,2,14
src_v9,1,root_confusion,0,4,5
src_v9,1,root_confusion,0,3,8
src_v9,1,root_confusion,1,3,14
src_v9,1,root_confusion,1,0,37
src_v9,1,root_confusion,1,2,22
src_v9,1,root_confusion,1,4,3
src_v9,1,root_confusion,2,4,28
src_v9,1,root_confusion,2,3,37
src_v9,1,root_confusion,2,0,32
src_v9,1,root_confusion,2,1,11
src_v9,1,root_confusion,3,4,26
src_v9,1,root_confusion,3,2,30
src_v9,1,root_confusion,3,0,10
src_v9,1,root_confusion,3,1,8
src_v9,1,root_confusion,4,3,27
src_v9,1,root_confusion,4,0,9
src_v9,1,root_confusion,4,1,6
src_v9,1,root_confusion,4,2,21
src_v9,1,incoming_to_class,0,1,37
src_v9,1,incoming_to_class,0,2,32
src_v9,1,incoming_to_class,0,4,9
src_v9,1,incoming_to_class,0,3,10
src_v9,1,incoming_to_class,1,0,18
src_v9,1,incoming_to_class,1,2,11
src_v9,1,incoming_to_class,1,4,6
src_v9,1,incoming_to_class,1,3,8
src_v9,1,incoming_to_class,2,0,14
src_v9,1,incoming_to_class,2,1,22
src_v9,1,incoming_to_class,2,3,30
src_v9,1,incoming_to_class,2,4,21
src_v9,1,incoming_to_class,3,2,37
src_v9,1,incoming_to_class,3,1,14
src_v9,1,incoming_to_class,3,4,27
src_v9,1,incoming_to_class,3,0,8
src_v9,1,incoming_to_class,4,2,28
src_v9,1,incoming_to_class,4,3,26
src_v9,1,incoming_to_class,4,1,3
src_v9,1,incoming_to_class,4,0,5
src_v9,2,root_confusion,0,3,16
src_v9,2,root_confusion,0,1,33
src_v9,2,root_confusion,0,4,1
src_v9,2,root_confusion,0,2,5
src_v9,2,root_confusion,1,4,7
src_v9,2,root_confusion,1,0,39
src_v9,2,root_confusion,1,2,22
src_v9,2,root_confusion,1,3,9
src_v9,2,root_confusion,2,4,13
src_v9,2,root_confusion,2,1,21
src_v9,2,root_confusion,2,0,20
src_v9,2,root_confusion,2,3,29
src_v9,2,root_confusion,3,0,6
src_v9,2,root_confusion,3,2,36
src_v9,2,root_confusion,3,1,8
src_v9,2,root_confusion,3,4,15
src_v9,2,root_confusion,4,2,17
src_v9,2,root_confusion,4,3,25
src_v9,2,root_confusion,4,1,7
src_v9,2,root_confusion,4,0,13
src_v9,2,incoming_to_class,0,3,6
src_v9,2,incoming_to_class,0,1,39
src_v9,2,incoming_to_class,0,2,20
src_v9,2,incoming_to_class,0,4,13
src_v9,2,incoming_to_class,1,2,21
src_v9,2,incoming_to_class,1,3,8
src_v9,2,incoming_to_class,1,4,7
src_v9,2,incoming_to_class,1,0,33
src_v9,2,incoming_to_class,2,4,17
src_v9,2,incoming_to_class,2,3,36
src_v9,2,incoming_to_class,2,1,22
src_v9,2,incoming_to_class,2,0,5
src_v9,2,incoming_to_class,3,4,25
src_v9,2,incoming_to_class,3,0,16
src_v9,2,incoming_to_class,3,2,29
src_v9,2,incoming_to_class,3,1,9
src_v9,2,incoming_to_class,4,1,7
src_v9,2,incoming_to_class,4,2,13
src_v9,2,incoming_to_class,4,3,15
src_v9,2,incoming_to_class,4,0,1
src_v9,3,root_confusion,0,2,15
src_v9,3,root_confusion,0,1,30
src_v9,3,root_confusion,0,3,8
src_v9,3,root_confusion,0,4,5
src_v9,3,root_confusion,1,2,17
src_v9,3,root_confusion,1,0,36
src_v9,3,root_confusion,1,3,14
src_v9,3,root_confusion,1,4,4
src_v9,3,root_confusion,2,1,19
src_v9,3,root_confusion,2,0,28
src_v9,3,root_confusion,2,3,37
src_v9,3,root_confusion,2,4,13
src_v9,3,root_confusion,3,2,37
src_v9,3,root_confusion,3,0,14
src_v9,3,root_confusion,3,4,17
src_v9,3,root_confusion,3,1,4
src_v9,3,root_confusion,4,2,16
src_v9,3,root_confusion,4,0,11
src_v9,3,root_confusion,4,3,22
src_v9,3,root_confusion,4,1,6
src_v9,3,incoming_to_class,0,1,36
src_v9,3,incoming_to_class,0,3,14
src_v9,3,incoming_to_class,0,4,11
src_v9,3,incoming_to_class,0,2,28
src_v9,3,incoming_to_class,1,2,19
src_v9,3,incoming_to_class,1,0,30
src_v9,3,incoming_to_class,1,4,6
src_v9,3,incoming_to_class,1,3,4
src_v9,3,incoming_to_class,2,1,17
src_v9,3,incoming_to_class,2,0,15
src_v9,3,incoming_to_class,2,3,37
src_v9,3,incoming_to_class,2,4,16
src_v9,3,incoming_to_class,3,4,22
src_v9,3,incoming_to_class,3,2,37
src_v9,3,incoming_to_class,3,0,8
src_v9,3,incoming_to_class,3,1,14
src_v9,3,incoming_to_class,4,3,17
src_v9,3,incoming_to_class,4,2,13
src_v9,3,incoming_to_class,4,0,5
src_v9,3,incoming_to_class,4,1,4
src_v9,4,root_confusion,0,2,12
src_v9,4,root_confusion,0,1,19
src_v9,4,root_confusion,0,4,3
src_v9,4,root_confusion,0,3,9
src_v9,4,root_confusion,1,4,10
src_v9,4,root_confusion,1,0,49
src_v9,4,root_confusion,1,3,16
src_v9,4,root_confusion,1,2,23
src_v9,4,root_confusion,2,0,26
src_v9,4,root_confusion,2,4,15
src_v9,4,root_confusion,2,1,16
src_v9,4,root_confusion,2,3,37
src_v9,4,root_confusion,3,1,9
src_v9,4,root_confusion,3,4,19
src_v9,4,root_confusion,3,0,12
src_v9,4,root_confusion,3,2,36
src_v9,4,root_confusion,4,3,26
src_v9,4,root_confusion,4,0,5
src_v9,4,root_confusion,4,2,13
src_v9,4,root_confusion,4,1,6
src_v9,4,incoming_to_class,0,2,26
src_v9,4,incoming_to_class,0,1,49
src_v9,4,incoming_to_class,0,4,5
src_v9,4,incoming_to_class,0,3,12
src_v9,4,incoming_to_class,1,2,16
src_v9,4,incoming_to_class,1,0,19
src_v9,4,incoming_to_class,1,3,9
src_v9,4,incoming_to_class,1,4,6
src_v9,4,incoming_to_class,2,0,12
src_v9,4,incoming_to_class,2,1,23
src_v9,4,incoming_to_class,2,4,13
src_v9,4,incoming_to_class,2,3,36
src_v9,4,incoming_to_class,3,4,26
src_v9,4,incoming_to_class,3,2,37
src_v9,4,incoming_to_class,3,1,16
src_v9,4,incoming_to_class,3,0,9
src_v9,4,incoming_to_class,4,2,15
src_v9,4,incoming_to_class,4,1,10
src_v9,4,incoming_to_class,4,0,3
src_v9,4,incoming_to_class,4,3,19
src_v9,5,root_confusion,0,1,23
src_v9,5,root_confusion,0,4,6
src_v9,5,root_confusion,0,2,12
src_v9,5,root_confusion,0,3,11
src_v9,5,root_confusion,1,0,40
src_v9,5,root_confusion,1,3,16
src_v9,5,root_confusion,1,2,19
src_v9,5,root_confusion,1,4,8
src_v9,5,root_confusion,2,4,19
src_v9,5,root_confusion,2,1,16
src_v9,5,root_confusion,2,3,37
src_v9,5,root_confusion,2,0,26
src_v9,5,root_confusion,3,2,30
src_v9,5,root_confusion,3,4,12
src_v9,5,root_confusion,3,1,9
src_v9,5,root_confusion,3,0,16
src_v9,5,root_confusion,4,2,18
src_v9,5,root_confusion,4,3,21
src_v9,5,root_confusion,4,0,10
src_v9,5,root_confusion,4,1,5
src_v9,5,incoming_to_class,0,1,40
src_v9,5,incoming_to_class,0,3,16
src_v9,5,incoming_to_class,0,2,26
src_v9,5,incoming_to_class,0,4,10
src_v9,5,incoming_to_class,1,2,16
