dataset,variant,n,val_mean,val_std,test_mean,test_std
actor,hasdc_channel_select,3,0.3170230189959207,0.004633810232251653,0.30921052893002826,0.00723685324192557
actor,hasdc_merged,3,0.3237390319506327,0.00594915412400699,0.309649129708608,0.004620900679469924
actor,raw_plain_residual,3,0.3144188523292541,0.0016617748632450735,0.3089912235736847,0.006112883964997336
actor,smooth_plain_residual,3,0.31633771459261567,0.005366435953697378,0.3065789540608724,0.011414053018285384
chameleon,hasdc_channel_select,3,0.40420668323834735,0.02723981946834659,0.43274853626887005,0.010817728613706874
chameleon,hasdc_merged,3,0.39368999004364014,0.019204378128051782,0.4049707551797231,0.012078004605185629
chameleon,raw_plain_residual,3,0.30041152238845825,0.017133043281452733,0.32383041580518085,0.017725673511931238
chameleon,smooth_plain_residual,3,0.40420668323834735,0.02723981946834659,0.43274853626887005,0.010817728613706874
squirrel,hasdc_channel_select,3,0.25500801205635065,0.003417208399706913,0.2427153388659159,0.010924580078273578
squirrel,hasdc_merged,3,0.25681089361508685,0.008114836536943731,0.2494396368662516,0.0033735663064335137
squirrel,raw_plain_residual,3,0.22035256524880723,0.015489580935060877,0.21485750377178184,0.012163571790775771
squirrel,smooth_plain_residual,3,0.25500801205635065,0.003417208399706913,0.2427153388659159,0.010924580078273578
