dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.45148026943206787,0.31866776943206787,0.31118419766426086,6,True,67.143,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.4517543911933899,0.3153782784938812,0.30657893419265747,8,True,3.453,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.45093202590942383,0.31702303886413574,0.2881578803062439,13,True,4.69,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,5.0,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.445449560880661,0.3046875,0.28947368264198303,16,True,5.662,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.4753289520740509,0.3112664520740509,0.30000001192092896,6,True,2.979,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.4676535129547119,0.31208881735801697,0.2940789461135864,8,True,3.701,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.4572368562221527,0.3005756437778473,0.27171051502227783,13,True,4.688,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,5.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.45531797409057617,0.29111841320991516,0.27105262875556946,16,True,5.539,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,16,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.49808114767074585,0.30139803886413574,0.2921052575111389,6,True,2.843,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,16,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.4961622953414917,0.3046875,0.2789473831653595,8,True,3.816,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,16,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.4909539520740509,0.29605263471603394,0.2723684310913086,13,True,4.877,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,5.0,16,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.4909539520740509,0.29358553886413574,0.2861842215061188,16,True,5.605,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,8,0.0,5.0,none,raw_plain_residual,7600,932,5,3648,2432,1520,0.4479166567325592,0.3149670958518982,0.3105263113975525,0,True,1.023,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,7600,932,5,3648,2432,1520,0.4638157784938812,0.31414473056793213,0.3019736707210541,0,True,1.275,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,16,0.0,5.0,none,raw_plain_residual,7600,932,5,3648,2432,1520,0.48629385232925415,0.30427631735801697,0.3019736707210541,0,True,1.18,,,,,
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.45148026943206787,0.31866776943206787,0.31118419766426086,6,True,4.135,0.505,0.5146,0.4678,0.5619,0.4761
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.4517543911933899,0.3153782784938812,0.30657893419265747,8,True,4.38,0.5,0.5407,0.4655,0.5828,0.4269
