dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4,error
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4753289520740509,0.3112664520740509,0.30000001192092896,6.0,True,8.009,,,,,,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4676535129547119,0.31208881735801697,0.2940789461135864,8.0,True,3.11,,,,,,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4572368562221527,0.3005756437778473,0.27171051502227783,13.0,True,3.978,,,,,,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4638157784938812,0.31414473056793213,0.3019736707210541,0.0,True,0.83,,,,,,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4638157784938812,0.31414473056793213,0.3019736707210541,6.0,True,3.679,0.4699,0.5175,0.5345,0.4786,0.4761,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4638157784938812,0.31414473056793213,0.3019736707210541,8.0,True,3.99,0.4253,0.5204,0.5664,0.4979,0.4504,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4638157784938812,0.31414473056793213,0.3019736707210541,13.0,True,5.143,0.45,0.4738,0.5391,0.5343,0.4075,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.47066885232925415,0.3096217215061188,0.2993420958518982,6.0,True,3.387,0.4699,0.5175,0.5345,0.4786,0.4761,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.46052631735801697,0.31990131735801697,0.3052631616592407,8.0,True,3.844,0.4253,0.5204,0.5664,0.4979,0.4504,
actor,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4413377046585083,0.31085526943206787,0.28684210777282715,13.0,True,4.819,0.45,0.4738,0.5391,0.5343,0.4075,
actor,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.47176533937454224,0.31455591320991516,0.30921053886413574,6.0,True,2.436,,,,,,
actor,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4662829041481018,0.31044408679008484,0.29078948497772217,8.0,True,2.698,,,,,,
actor,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.45230263471603394,0.28988486528396606,0.27828946709632874,13.0,True,4.31,,,,,,
actor,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.45915570855140686,0.31291118264198303,0.3131578862667084,0.0,True,1.199,,,,,,
