dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4,g_5,g_6
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2708,1433,7,140,500,1000,1.0,0.6620000004768372,0.6899999976158142,0,True,15.963,,,,,,,
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2708,1433,7,140,500,1000,1.0,0.7160000205039978,0.7509999871253967,0,True,0.259,,,,,,,
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2708,1433,7,140,500,1000,0.9928571581840515,0.765999972820282,0.7910000085830688,0,True,0.278,,,,,,,
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,5.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2708,1433,7,140,500,1000,0.9928571581840515,0.7839999794960022,0.7960000038146973,0,True,0.311,,,,,,,
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,10.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,2708,1433,7,140,500,1000,0.9928571581840515,0.7940000295639038,0.7870000004768372,0,True,0.249,,,,,,,
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,2708,1433,7,140,500,1000,1.0,0.5740000009536743,0.5879999995231628,0,True,0.095,,,,,,,
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2708,1433,7,140,500,1000,1.0,0.6620000004768372,0.6899999976158142,0,True,0.375,0.6205,0.6027,0.6255,0.6014,0.5766,0.6079,0.6659
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2708,1433,7,140,500,1000,1.0,0.7160000205039978,0.7509999871253967,0,True,0.333,0.6205,0.6354,0.7104,0.6812,0.6354,0.6686,0.7378
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2708,1433,7,140,500,1000,0.9928571581840515,0.765999972820282,0.7910000085830688,0,True,0.306,0.7278,0.7523,0.8232,0.7146,0.6635,0.6286,0.7378
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,5.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2708,1433,7,140,500,1000,0.9928571581840515,0.7839999794960022,0.7960000038146973,0,True,0.365,0.7278,0.7773,0.8411,0.7335,0.6772,0.6489,0.7697
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,10.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,2708,1433,7,140,500,1000,0.9928571581840515,0.7940000295639038,0.7870000004768372,0,True,0.349,0.7278,0.7523,0.8495,0.7517,0.7035,0.6286,0.7989
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2708,1433,7,140,500,1000,1.0,0.6579999923706055,0.6779999732971191,0,True,1.68,0.6205,0.6027,0.6255,0.6014,0.5766,0.6079,0.6659
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2708,1433,7,140,500,1000,1.0,0.6899999976158142,0.7200000286102295,0,True,0.905,0.6205,0.6354,0.7104,0.6812,0.6354,0.6686,0.7378
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2708,1433,7,140,500,1000,1.0,0.765999972820282,0.7879999876022339,0,True,0.561,0.7278,0.7523,0.8232,0.7146,0.6635,0.6286,0.7378
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,5.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2708,1433,7,140,500,1000,0.9928571581840515,0.7799999713897705,0.8029999732971191,0,True,0.447,0.7278,0.7773,0.8411,0.7335,0.6772,0.6489,0.7697
cora,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,10.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2708,1433,7,140,500,1000,1.0,0.8040000200271606,0.8069999814033508,0,True,0.471,0.7278,0.7523,0.8495,0.7517,0.7035,0.6286,0.7989
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,3327,3703,6,120,500,1000,1.0,0.6299999952316284,0.6539999842643738,0,True,11.973,,,,,,,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,3327,3703,6,120,500,1000,0.9916666746139526,0.6840000152587891,0.6840000152587891,0,True,0.84,,,,,,,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,3327,3703,6,120,500,1000,0.9583333134651184,0.7200000286102295,0.7089999914169312,0,True,0.839,,,,,,,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,5.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,3327,3703,6,120,500,1000,0.9416666626930237,0.7160000205039978,0.7089999914169312,0,True,0.894,,,,,,,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,10.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,3327,3703,6,120,500,1000,0.949999988079071,0.7160000205039978,0.7080000042915344,0,True,0.847,,,,,,,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,3327,3703,6,120,500,1000,1.0,0.5559999942779541,0.5979999899864197,0,True,0.308,,,,,,,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,3327,3703,6,120,500,1000,1.0,0.6299999952316284,0.6539999842643738,0,True,1.091,0.6265,0.5863,0.6659,0.5118,0.6048,0.5541,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,3327,3703,6,120,500,1000,0.9916666746139526,0.6840000152587891,0.6840000152587891,0,True,1.102,0.6659,0.6677,0.7541,0.5353,0.6544,0.6242,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,3327,3703,6,120,500,1000,0.9583333134651184,0.7200000286102295,0.7089999914169312,0,True,1.103,0.6265,0.7171,0.8252,0.5118,0.7008,0.6736,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,5.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,3327,3703,6,120,500,1000,0.9416666626930237,0.7160000205039978,0.7089999914169312,0,True,1.105,0.5854,0.7171,0.8057,0.5118,0.7226,0.6736,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,10.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,3327,3703,6,120,500,1000,0.949999988079071,0.7160000205039978,0.7080000042915344,0,True,1.122,0.4146,0.7511,0.8252,0.5,0.6895,0.7047,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,3327,3703,6,120,500,1000,1.0,0.6119999885559082,0.6489999890327454,0,True,1.501,0.6265,0.5863,0.6659,0.5118,0.6048,0.5541,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,3327,3703,6,120,500,1000,1.0,0.6520000100135803,0.6629999876022339,0,True,1.564,0.6659,0.6677,0.7541,0.5353,0.6544,0.6242,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,3327,3703,6,120,500,1000,0.9833333492279053,0.7099999785423279,0.699999988079071,0,True,1.578,0.6265,0.7171,0.8252,0.5118,0.7008,0.6736,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,5.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,3327,3703,6,120,500,1000,0.9666666388511658,0.7200000286102295,0.7009999752044678,0,True,1.615,0.5854,0.7171,0.8057,0.5118,0.7226,0.6736,
citeseer,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,10.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,3327,3703,6,120,500,1000,0.9666666388511658,0.7160000205039978,0.7039999961853027,0,True,1.457,0.4146,0.7511,0.8252,0.5,0.6895,0.7047,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,19717,500,3,60,500,1000,1.0,0.7279999852180481,0.7200000286102295,7,True,34.59,,,,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,19717,500,3,60,500,1000,1.0,0.734000027179718,0.7289999723434448,9,True,2.587,,,,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,19717,500,3,60,500,1000,1.0,0.7639999985694885,0.7540000081062317,14,True,3.713,,,,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,5.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,19717,500,3,60,500,1000,1.0,0.7699999809265137,0.7570000290870667,18,True,4.726,,,,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,smooth_plain_residual,10.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,19717,500,3,60,500,1000,1.0,0.7680000066757202,0.7649999856948853,25,True,6.32,,,,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,19717,500,3,60,500,1000,1.0,0.699999988079071,0.7039999961853027,0,True,0.156,,,,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,19717,500,3,60,500,1000,1.0,0.7279999852180481,0.7200000286102295,7,True,2.3,0.5255,0.5,0.5716,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,19717,500,3,60,500,1000,1.0,0.734000027179718,0.7289999723434448,9,True,2.544,0.5382,0.4678,0.6122,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,19717,500,3,60,500,1000,1.0,0.7639999985694885,0.7540000081062317,14,True,3.74,0.5128,0.5258,0.6568,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,5.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,19717,500,3,60,500,1000,1.0,0.7699999809265137,0.7570000290870667,18,True,4.777,0.5128,0.5258,0.6729,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_channel_select,10.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,19717,500,3,60,500,1000,1.0,0.7680000066757202,0.7649999856948853,25,True,6.439,0.4872,0.5193,0.6834,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,19717,500,3,60,500,1000,1.0,0.722000002861023,0.718999981880188,7,True,2.335,0.5255,0.5,0.5716,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,19717,500,3,60,500,1000,1.0,0.7279999852180481,0.7300000190734863,9,True,2.954,0.5382,0.4678,0.6122,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,19717,500,3,60,500,1000,1.0,0.765999972820282,0.7639999985694885,14,True,3.963,0.5128,0.5258,0.6568,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,5.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,19717,500,3,60,500,1000,1.0,0.7760000228881836,0.7680000066757202,18,True,4.891,0.5128,0.5258,0.6729,,,,
pubmed,0,0,0,dataset_mask_or_generated_split,WhiteBox-HASDC,hasdc_merged,10.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,19717,500,3,60,500,1000,1.0,0.7919999957084656,0.7689999938011169,25,True,6.527,0.4872,0.5193,0.6834,,,,
