dataset,variant,n,val_mean,val_std,test_mean,test_std
citeseer,hasdc_channel_select,1,0.7200000286102295,,0.7089999914169312,
citeseer,hasdc_merged,1,0.7200000286102295,,0.7009999752044678,
citeseer,raw_plain_residual,1,0.5559999942779541,,0.5979999899864197,
citeseer,smooth_plain_residual,1,0.7200000286102295,,0.7089999914169312,
cora,hasdc_channel_select,1,0.7940000295639038,,0.7870000004768372,
cora,hasdc_merged,1,0.8040000200271606,,0.8069999814033508,
cora,raw_plain_residual,1,0.5740000009536743,,0.5879999995231628,
cora,smooth_plain_residual,1,0.7940000295639038,,0.7870000004768372,
pubmed,hasdc_channel_select,1,0.7699999809265137,,0.7570000290870667,
pubmed,hasdc_merged,1,0.7919999957084656,,0.7689999938011169,
pubmed,raw_plain_residual,1,0.699999988079071,,0.7039999961853027,
pubmed,smooth_plain_residual,1,0.7699999809265137,,0.7570000290870667,
