dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183,1703,5,87,59,37,1.0,0.7118644118309021,0.7027027010917664,0,True,5.837,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183,1703,5,87,59,37,0.9885057210922241,0.6440678238868713,0.5945945978164673,0,True,0.028,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183,1703,5,87,59,37,0.9425287246704102,0.5423728823661804,0.45945945382118225,0,True,0.055,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183,1703,5,87,59,37,0.9425287246704102,0.694915235042572,0.5405405163764954,0,True,0.075,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,0.5,12,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183,1703,5,87,59,37,0.9425287246704102,0.694915235042572,0.5405405163764954,0,True,0.063,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183,1703,5,87,59,37,0.931034505367279,0.6610169410705566,0.4864864945411682,0,True,0.06,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,1.0,12,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183,1703,5,87,59,37,0.931034505367279,0.6610169410705566,0.4864864945411682,0,True,0.064,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183,1703,5,87,59,37,0.8735632300376892,0.508474588394165,0.4054054021835327,0,True,0.063,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,3.0,12,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183,1703,5,87,59,37,0.8735632300376892,0.508474588394165,0.4054054021835327,0,True,0.067,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,183,1703,5,87,59,37,1.0,0.7627118825912476,0.7567567825317383,0,True,0.031,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_dynamic_layer3,0.0,12,0.0,5.0,none,raw_dynamic_layer3,183,1703,5,87,59,37,0.954023003578186,0.7457627058029175,0.6216216087341309,0,True,0.06,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_dynamic_layer3,0.0,12,0.1,5.0,none,raw_dynamic_layer3,183,1703,5,87,59,37,0.954023003578186,0.7457627058029175,0.6216216087341309,0,True,0.049,,,,,
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,183,1703,5,87,59,37,1.0,0.7627118825912476,0.7567567825317383,0,True,0.065,0.2872,0.5,0.3486,0.42,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.1,5.0,src_v5_dense_layer1,hasdc_channel_select_suppression,183,1703,5,87,59,37,0.954023003578186,0.7457627058029175,0.6216216087341309,0,True,0.085,0.2872,0.5,0.3486,0.5,0.5
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,183,1703,5,87,59,37,1.0,0.7627118825912476,0.7567567825317383,0,True,0.043,0.1397,0.5,0.3486,0.3441,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.1,5.0,src_v5_dense_layer1,hasdc_channel_select_suppression,183,1703,5,87,59,37,0.954023003578186,0.7457627058029175,0.6216216087341309,0,True,0.067,0.1397,0.5,0.3486,0.4598,0.6713
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,183,1703,5,87,59,37,1.0,0.7627118825912476,0.7567567825317383,0,True,0.044,0.0934,0.5,0.133,0.2443,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.1,5.0,src_v5_dense_layer1,hasdc_channel_select_suppression,183,1703,5,87,59,37,0.954023003578186,0.7457627058029175,0.6216216087341309,0,True,0.097,0.0934,0.5,0.133,0.3086,0.3287
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,183,1703,5,87,59,37,1.0,0.7288135886192322,0.7297297120094299,0,True,0.101,0.2872,0.5,0.3486,0.42,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.1,5.0,src_v5_dense_layer1,hasdc_merged_suppression,183,1703,5,87,59,37,0.9425287246704102,0.6779661178588867,0.5405405163764954,0,True,0.158,0.2872,0.5,0.3486,0.5,0.5
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,183,1703,5,87,59,37,1.0,0.7288135886192322,0.7297297120094299,0,True,0.084,0.1397,0.5,0.3486,0.3441,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.1,5.0,src_v5_dense_layer1,hasdc_merged_suppression,183,1703,5,87,59,37,0.9425287246704102,0.7118644118309021,0.4864864945411682,0,True,0.262,0.1397,0.5,0.3486,0.4598,0.6713
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,183,1703,5,87,59,37,1.0,0.6779661178588867,0.6756756901741028,0,True,0.154,0.0934,0.5,0.133,0.2443,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.1,5.0,src_v5_dense_layer1,hasdc_merged_suppression,183,1703,5,87,59,37,0.9655172228813171,0.6779661178588867,0.5945945978164673,0,True,0.124,0.0934,0.5,0.133,0.3086,0.3287
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_dual_rank,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_dual_rank_plain_residual,183,1703,5,87,59,37,0.9425287246704102,0.4237288236618042,0.3513513505458832,0,True,0.055,0.2872,0.5,0.3486,0.42,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_dual_rank,0.5,12,0.1,5.0,src_v5_dense_layer1,hasdc_dual_rank_suppression,183,1703,5,87,59,37,0.9425287246704102,0.5423728823661804,0.37837839126586914,0,True,0.118,0.2872,0.5,0.3486,0.5,0.5
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_dual_rank,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_dual_rank_plain_residual,183,1703,5,87,59,37,0.9080459475517273,0.4237288236618042,0.3513513505458832,0,True,0.093,0.1397,0.5,0.3486,0.3441,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_dual_rank,1.0,12,0.1,5.0,src_v5_dense_layer1,hasdc_dual_rank_suppression,183,1703,5,87,59,37,0.931034505367279,0.5254237055778503,0.4324324429035187,0,True,0.106,0.1397,0.5,0.3486,0.4598,0.6713
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_dual_rank,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_dual_rank_plain_residual,183,1703,5,87,59,37,0.9080459475517273,0.32203391194343567,0.2702702581882477,0,True,0.067,0.0934,0.5,0.133,0.2443,0.8067
cornell,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_dual_rank,3.0,12,0.1,5.0,src_v5_dense_layer1,hasdc_dual_rank_suppression,183,1703,5,87,59,37,0.9080459475517273,0.4406779706478119,0.29729729890823364,0,True,0.103,0.0934,0.5,0.133,0.3086,0.3287
