dataset,repeat,split_id,seed,split_policy,method,grid_id,num_nodes,num_features,num_classes,train_size,val_size,test_size,lambda_smooth,d_s,d_r,tau_gate,gamma,fit_time_sec,selection_rule,alpha_mode,alpha_nonzero,learned_alpha_nonzero,alpha_abs_sum,overlap_abs_sum,overlap_max,gate_mean,gate_min,gate_max,base_abs_mean,cross_abs_mean,gamma_cross_abs_mean,final_abs_mean,train_acc,val_acc,test_acc,time_sec
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,0,7600,932,5,3648,2432,1520,0.0,8,8,5.0,0.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,zero,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.928
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,1,7600,932,5,3648,2432,1520,0.0,8,8,5.0,1.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,zero,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.899
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,2,7600,932,5,3648,2432,1520,0.0,8,8,5.0,10.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,zero,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.856
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,3,7600,932,5,3648,2432,1520,0.0,8,8,5.0,100.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,zero,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.827
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,4,7600,932,5,3648,2432,1520,0.0,8,8,5.0,1000.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,zero,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.853
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,5,7600,932,5,3648,2432,1520,0.0,8,8,5.0,0.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,learned,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.84
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,6,7600,932,5,3648,2432,1520,0.0,8,8,5.0,1.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,learned,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.84
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,7,7600,932,5,3648,2432,1520,0.0,8,8,5.0,10.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,learned,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.844
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,8,7600,932,5,3648,2432,1520,0.0,8,8,5.0,100.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,learned,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.826
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,9,7600,932,5,3648,2432,1520,0.0,8,8,5.0,1000.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,learned,0,0,0.0,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.0,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.834
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,10,7600,932,5,3648,2432,1520,0.0,8,8,5.0,0.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,0,0.5836734151760805,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.025178530663363122,0.0,915.4858622908872,0.4597039520740509,0.33388158679008484,0.33157894015312195,5.85
