node_id,true_label,error_count,total_configs,error_rate,most_common_wrong_pred,split_mode,degree_sym,same_label_neighbor_ratio,neighbor_label_entropy,raw_feat_nnz,raw_feat_nz_idx_head,grid_ids
0,0,20,20,1.0,3,val,5,0.6,0.6730116670092565,7,"[224, 392, 404, 1538, 1567, 2045, 2285]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
5,0,20,20,1.0,3,val,15,0.0,1.1369165918330006,6,"[275, 359, 841, 1766, 2006, 2145]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
9,2,20,20,1.0,4,val,10,0.1,1.5047882836811908,9,"[200, 288, 447, 619, 777, 977, 1497, 1517, 1541]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
13,0,20,20,1.0,3,test,9,0.2222222222222222,1.2730283365896258,3,"[860, 2185, 2285]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
18,1,20,20,1.0,3,test,3,0.3333333333333333,1.0986122886681096,1,[816],"[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
23,0,20,20,1.0,3,val,3,0.0,-0.0,12,"[482, 777, 1024, 1083, 1205, 1219, 1454, 1617, 1780, 2039, 2125, 2319]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
30,2,20,20,1.0,4,val,10,0.2,1.2798542258336676,21,"[73, 345, 348, 372, 448, 473, 763, 1244, 1245, 1316, 1390, 1401, 1413, 1443, 1672, 1685, 1737, 1803, 1853, 2218, 2267]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
38,1,20,20,1.0,2,val,10,0.2,1.5571130980576458,2,"[285, 1602]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
40,3,20,20,1.0,4,val,11,0.45454545454545453,1.0361987848192837,11,"[107, 193, 443, 1206, 1438, 1759, 1793, 1891, 2042, 2220, 2275]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
41,0,20,20,1.0,1,val,13,0.5384615384615384,1.1569876443452742,2,"[45, 1493]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
42,0,20,20,1.0,2,val,1,0.0,-0.0,3,"[2055, 2073, 2145]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
46,3,20,20,1.0,2,val,2,0.5,0.6931471805599453,4,"[1545, 1766, 1784, 1803]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
47,2,20,20,1.0,4,val,10,0.1,1.5047882836811908,8,"[122, 238, 777, 977, 1203, 1523, 1693, 1948]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
51,1,20,20,1.0,0,test,10,0.2,1.5571130980576458,0,[],"[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
56,1,20,20,1.0,2,val,1,0.0,-0.0,2,"[716, 1067]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
65,1,20,20,1.0,3,val,33,0.09090909090909091,0.7297747214492927,4,"[25, 887, 1322, 2285]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
66,0,20,20,1.0,1,val,46,0.10869565217391304,0.7286620749440944,1,[954],"[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
67,2,20,20,1.0,3,test,8,0.25,1.2130075659799042,9,"[85, 431, 455, 473, 745, 941, 1811, 1905, 2135]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
71,0,20,20,1.0,3,test,4,0.25,1.0397207708399179,3,"[722, 947, 1541]","[6, 7, 9, 10, 11, 54, 55, 56, 57, 58, 59, 102, 103, 105, 106, 150, 151, 153, 154, 155]"
