repeat,grid_id,n_wrong_all,n_wrong_train,n_wrong_val,n_wrong_test,preprocess_mode,feature_mode,rnr_variant,relations,dim,lambda_smooth,ridge_alpha,ridge_temperature,residual_temperature,alpha_sub,beta_ridge,gamma_geom,lambda_compat,iterations,local_rank,max_neighbors,geometry_use,tau_gate,residual_norm,score_norm_mode,reliability_mode,kappa,fccp_temperature,clamp_train,base_train,base_val,base_test,train,val,test
0,54,669,0,425,244,raw,rnr_plus_raw,full,sym,8,0.1,0.3,1.0,1.0,0.5,1.0,0.0,0.0,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7188644688644689,0.4170096021947874,0.4649122807017544,1.0,0.4170096021947874,0.4649122807017544
0,57,670,0,425,245,raw,rnr_plus_raw,full,sym,8,0.1,0.3,1.0,1.0,0.5,1.0,0.25,0.0,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7188644688644689,0.4170096021947874,0.46271929824561403,1.0,0.4170096021947874,0.46271929824561403
0,150,674,0,425,249,raw,rnr_plus_raw,full,sym,10,0.1,0.3,1.0,1.0,0.5,1.0,0.0,0.0,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7261904761904762,0.4170096021947874,0.45394736842105265,1.0,0.4170096021947874,0.45394736842105265
0,6,670,0,426,244,raw,rnr_plus_raw,full,sym,8,0.05,0.3,1.0,1.0,0.5,1.0,0.0,0.0,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.717948717948718,0.4156378600823045,0.4649122807017544,1.0,0.4156378600823045,0.4649122807017544
0,9,671,0,426,245,raw,rnr_plus_raw,full,sym,8,0.05,0.3,1.0,1.0,0.5,1.0,0.25,0.0,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.717948717948718,0.4156378600823045,0.46271929824561403,1.0,0.4156378600823045,0.46271929824561403
0,10,672,0,426,246,raw,rnr_plus_raw,full,sym,8,0.05,0.3,1.0,1.0,0.5,1.0,0.25,0.1,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.717948717948718,0.4156378600823045,0.46271929824561403,1.0,0.4156378600823045,0.4605263157894737
0,102,675,0,426,249,raw,rnr_plus_raw,full,sym,10,0.05,0.3,1.0,1.0,0.5,1.0,0.0,0.0,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7261904761904762,0.4156378600823045,0.45394736842105265,1.0,0.4156378600823045,0.45394736842105265
0,153,676,0,426,250,raw,rnr_plus_raw,full,sym,10,0.1,0.3,1.0,1.0,0.5,1.0,0.25,0.0,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7261904761904762,0.4156378600823045,0.4517543859649123,1.0,0.4156378600823045,0.4517543859649123
0,154,676,0,426,250,raw,rnr_plus_raw,full,sym,10,0.1,0.3,1.0,1.0,0.5,1.0,0.25,0.1,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7261904761904762,0.4156378600823045,0.4517543859649123,1.0,0.4156378600823045,0.4517543859649123
0,55,672,0,427,245,raw,rnr_plus_raw,full,sym,8,0.1,0.3,1.0,1.0,0.5,1.0,0.0,0.1,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7188644688644689,0.4170096021947874,0.4649122807017544,1.0,0.41426611796982166,0.46271929824561403
0,58,673,0,427,246,raw,rnr_plus_raw,full,sym,8,0.1,0.3,1.0,1.0,0.5,1.0,0.25,0.1,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7188644688644689,0.4170096021947874,0.46271929824561403,1.0,0.41426611796982166,0.4605263157894737
0,11,675,0,427,248,raw,rnr_plus_raw,full,sym,8,0.05,0.3,1.0,1.0,0.5,1.0,0.25,0.2,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.717948717948718,0.4156378600823045,0.46271929824561403,1.0,0.41426611796982166,0.45614035087719296
0,105,677,0,427,250,raw,rnr_plus_raw,full,sym,10,0.05,0.3,1.0,1.0,0.5,1.0,0.25,0.0,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7271062271062271,0.41426611796982166,0.4517543859649123,1.0,0.41426611796982166,0.4517543859649123
0,106,677,0,427,250,raw,rnr_plus_raw,full,sym,10,0.05,0.3,1.0,1.0,0.5,1.0,0.25,0.1,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7271062271062271,0.41426611796982166,0.4517543859649123,1.0,0.41426611796982166,0.4517543859649123
0,7,673,0,428,245,raw,rnr_plus_raw,full,sym,8,0.05,0.3,1.0,1.0,0.5,1.0,0.0,0.1,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.717948717948718,0.4156378600823045,0.4649122807017544,1.0,0.41289437585733885,0.46271929824561403
0,59,676,0,428,248,raw,rnr_plus_raw,full,sym,8,0.1,0.3,1.0,1.0,0.5,1.0,0.25,0.2,1,3,24,raw,5.0,none,median,degree_entropy,5.0,1.0,True,0.7188644688644689,0.4170096021947874,0.46271929824561403,1.0,0.41289437585733885,0.45614035087719296
