split,class_label,branch_index,kind,confuser_class,basis_dim,member_size,seed_size,median_gain,radius,extra_bias_scale,gate_strength,val_selected_count,val_selected_correct_count,val_selected_wrong_count,val_help_vs_root_selected_count,val_hurt_vs_root_selected_count,val_changed_when_removed,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_selected_count,test_selected_correct_count,test_selected_wrong_count,test_help_vs_root_selected_count,test_hurt_vs_root_selected_count,test_changed_when_removed,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch
0,0,1,extra,1,64,101,34,0.4406294124210086,5.228945156545724,0.1,2.5,26,11,15,1,2,1,1,0,0,8,7,1,1,0,1,0,0,1
0,0,2,extra,2,64,82,14,0.32753107183449304,4.729596872692167,0.1,2.5,42,29,13,6,2,6,3,1,2,23,18,5,1,2,1,0,1,0
0,1,1,extra,0,64,95,34,0.6126500343797705,4.128894511163212,0.1,2.5,20,12,8,0,3,5,2,3,0,15,11,4,0,1,2,0,1,1
0,1,2,extra,2,61,84,23,0.8042608371380091,4.710449144777746,0.1,2.5,7,7,0,1,0,0,0,0,0,8,6,2,1,0,3,1,0,2
0,2,1,extra,3,64,87,37,1.1873507672290082,4.573254796743007,0.1,2.5,7,4,3,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0
0,2,2,extra,0,64,83,27,1.1484171744912164,5.046749101065394,0.1,2.5,29,26,3,2,1,4,2,1,1,16,14,2,0,0,0,0,0,0
0,3,1,extra,2,64,95,30,0.9264809420534457,4.792148465641247,0.1,2.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,extra,1,64,88,16,1.0401290405849055,4.71747809253395,0.1,2.5,4,3,1,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0
0,4,1,extra,3,64,75,21,1.3595377236335384,4.940229250643187,0.1,2.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0,1,extra,2,32,83,17,0.22805436046834715,5.361198493294708,0.1,2.5,17,13,4,3,1,5,3,1,1,12,7,5,2,0,4,2,0,2
1,1,1,extra,0,32,87,34,0.5139478096262828,5.196367322473396,0.1,2.5,28,22,6,3,3,6,3,2,1,22,19,3,1,1,4,1,1,2
1,1,2,extra,2,32,74,24,0.357452650060055,4.571265109727183,0.1,2.5,6,5,1,0,0,0,0,0,0,5,4,1,1,1,2,1,1,0
1,2,1,extra,3,32,99,40,0.5026304475166068,4.629673327612907,0.1,2.5,4,2,2,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0
1,2,2,extra,0,32,89,27,0.577027423784628,5.168351355192132,0.1,2.5,22,9,13,2,0,5,2,0,3,19,9,10,2,2,8,2,2,4
1,3,1,extra,2,32,103,34,0.3539667087960554,5.056713245644818,0.1,2.5,10,7,3,2,0,2,2,0,0,3,3,0,0,0,0,0,0,0
1,4,1,extra,3,32,76,31,0.6606297287077012,4.677142444145448,0.1,2.5,11,9,2,1,1,2,1,0,1,4,3,1,0,0,1,0,0,1
2,0,1,extra,1,64,94,33,0.3203025578348436,4.62476910941779,0.1,2.5,34,26,8,2,0,5,2,1,2,28,19,9,5,1,8,5,0,3
2,1,1,extra,0,64,104,39,0.5555555701164556,4.707153079508373,0.1,2.5,29,22,7,3,2,6,3,3,0,6,3,3,0,0,1,0,1,0
2,1,2,extra,2,61,84,22,1.0586489894890427,4.5592460588789185,0.1,2.5,13,10,3,1,1,2,1,1,0,10,9,1,2,0,1,1,0,0
2,2,1,extra,3,64,83,29,1.2236823579654272,4.573661278130458,0.1,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,extra,1,64,77,21,1.1937774158302776,5.116141740027844,0.1,2.5,27,25,2,7,1,8,7,1,0,17,15,2,5,0,5,5,0,0
2,3,1,extra,2,64,108,36,0.8306641605601538,5.011296726592735,0.1,2.5,7,4,3,0,0,0,0,0,0,4,3,1,0,0,1,0,0,1
2,4,1,extra,3,64,71,25,1.524849806324363,4.848769125084878,0.1,2.5,6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
2,4,2,extra,0,62,63,13,1.4327618129740007,4.589021654402859,0.1,2.5,3,3,0,1,0,1,1,0,0,4,4,0,0,0,0,0,0,0
3,0,1,extra,1,64,97,30,0.4102970845178344,5.103321225207165,0.1,2.5,18,11,7,2,0,3,2,0,1,12,7,5,2,1,2,1,1,0
3,0,2,extra,2,63,82,15,0.34315455340110956,5.348525999695968,0.1,2.5,34,25,9,6,0,1,0,1,0,33,23,10,2,0,1,0,0,1
3,1,1,extra,0,64,97,36,0.7460480781197294,5.00438768054624,0.1,2.5,32,26,6,2,2,7,3,3,1,17,11,6,1,2,5,1,3,1
3,1,2,extra,2,55,77,17,0.9241242141161674,4.579380905223264,0.1,2.5,14,12,2,1,0,1,1,0,0,8,7,1,1,0,1,1,0,0
3,2,1,extra,3,64,87,37,1.1408169434892752,4.630385139646926,0.1,2.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,extra,0,64,85,28,1.1349812012396714,5.186416386384627,0.1,2.5,22,21,1,4,0,5,4,0,1,11,11,0,1,0,2,2,0,0
3,3,1,extra,2,64,109,37,0.7815680810285026,4.943923001479546,0.1,2.5,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,4,1,extra,3,64,67,22,1.565300969042716,4.5488984918429605,0.1,2.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,4,2,extra,0,62,63,11,1.3305972466348135,4.71731371680505,0.1,2.5,6,5,1,1,1,2,1,1,0,7,6,1,0,0,0,0,0,0
4,0,1,extra,1,32,80,20,0.2649918492931823,4.8914131828294805,0.1,2.5,26,21,5,3,3,6,3,3,0,14,9,5,1,1,2,1,1,0
4,1,1,extra,0,32,114,48,0.39174060205813355,5.327981238469085,0.1,2.5,18,15,3,2,3,5,2,3,0,13,10,3,0,2,2,0,2,0
4,2,1,extra,3,32,85,42,0.8384031589334189,4.740172446374063,0.1,2.5,8,4,4,1,0,2,1,0,1,5,0,5,0,2,4,0,2,2
4,2,2,extra,0,32,77,23,0.6591293662787696,5.2458198671139655,0.1,2.5,8,3,5,0,2,3,0,2,1,8,7,1,1,0,1,1,0,0
4,3,1,extra,2,32,103,37,0.4141494084910917,4.9934823833259,0.1,2.5,19,17,2,2,0,2,2,0,0,14,11,3,0,0,1,0,0,1
4,4,1,extra,3,32,77,27,0.7025820518932528,4.579237609376036,0.1,2.5,10,7,3,1,1,2,1,1,0,5,3,2,0,0,2,0,0,2
5,0,1,extra,1,48,89,21,0.512499890703088,3.4268298039069194,0.1,2.5,23,22,1,3,1,5,4,1,0,22,19,3,2,1,4,2,2,0
